loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.286532,0.044577,0.080759,0.223545,0.153765,0.273874,0.05528,0.100015,0.287604,0.19763
0.191105,0.345099,0.440947,0.504255,0.482148,0.132557,0.436441,0.529994,0.570757,0.542122
0.114566,0.484822,0.573762,0.572974,0.597588,0.07555,0.513966,0.60154,0.60503,0.607547
0.089895,0.511423,0.595802,0.590548,0.617785,0.064273,0.525894,0.61082,0.629905,0.602296
0.079722,0.531815,0.614128,0.609068,0.63156,0.064558,0.518143,0.60495,0.63111,0.599882
0.074257,0.537134,0.621611,0.654184,0.633377,0.080638,0.473569,0.568181,0.686317,0.554304
0.071199,0.546616,0.635018,0.657481,0.645189,0.061965,0.5346,0.630771,0.679392,0.622436
0.067262,0.562513,0.650493,0.666108,0.662138,0.05707,0.567534,0.662318,0.679652,0.668353
0.067335,0.567782,0.65872,0.670449,0.671206,0.057802,0.552323,0.64894,0.680809,0.656178
0.064722,0.576526,0.664776,0.677192,0.673834,0.057458,0.550477,0.640036,0.701663,0.634409
0.065091,0.575484,0.664199,0.674251,0.673947,0.06677,0.516613,0.612303,0.694792,0.598853
0.063138,0.575188,0.6614,0.670881,0.668879,0.052001,0.579616,0.671386,0.71033,0.67329
0.062187,0.586428,0.673724,0.683317,0.682852,0.05329,0.57158,0.661764,0.715364,0.653431
0.061728,0.584325,0.671332,0.680885,0.681766,0.059707,0.55693,0.654945,0.706389,0.640188
0.061432,0.586972,0.674299,0.684577,0.682903,0.052674,0.571971,0.663084,0.716066,0.650108
0.060026,0.592196,0.677661,0.687168,0.685877,0.055468,0.56488,0.655925,0.710969,0.643807
0.060464,0.586219,0.671988,0.682351,0.682006,0.051956,0.568061,0.656484,0.719687,0.647158
0.059133,0.59168,0.676013,0.689273,0.683184,0.056734,0.569339,0.6666,0.716265,0.656552
0.05926,0.593927,0.679296,0.692699,0.686061,0.055565,0.56774,0.665035,0.709487,0.661414
0.059065,0.597015,0.682593,0.698729,0.688996,0.051366,0.597011,0.692628,0.717221,0.695142
0.058088,0.598252,0.682901,0.701887,0.68867,0.053357,0.58082,0.676597,0.729945,0.664871
0.057654,0.596192,0.680518,0.698373,0.685277,0.052555,0.577924,0.672023,0.689462,0.684533
0.058199,0.598875,0.684533,0.700584,0.691749,0.058111,0.554561,0.651516,0.722934,0.633954
0.056996,0.601585,0.685875,0.704513,0.6895,0.053641,0.580007,0.676503,0.738591,0.656849
0.056468,0.603564,0.687751,0.709301,0.69292,0.058027,0.553268,0.644709,0.721532,0.630629
0.056517,0.60504,0.690093,0.709786,0.694402,0.054921,0.569366,0.665116,0.710173,0.660583
0.056549,0.604317,0.68954,0.711298,0.695507,0.053636,0.579302,0.673846,0.736807,0.659572
0.056278,0.607374,0.692373,0.710767,0.697598,0.051338,0.595336,0.691309,0.722127,0.686903
0.055434,0.609983,0.694174,0.71373,0.697999,0.050587,0.594369,0.688424,0.729705,0.683113
0.055761,0.603202,0.686968,0.70984,0.690582,0.05016,0.587584,0.679073,0.731567,0.671111
0.05485,0.611631,0.69571,0.71514,0.700031,0.052465,0.576101,0.662881,0.73334,0.654136
0.054712,0.607444,0.691439,0.710202,0.696422,0.050208,0.601494,0.69756,0.720656,0.700313
0.054849,0.612241,0.696632,0.717996,0.700319,0.050352,0.593448,0.687925,0.721761,0.684176
0.053797,0.610044,0.693608,0.714562,0.696889,0.054977,0.57253,0.667072,0.720444,0.659647
0.053187,0.61477,0.69827,0.717667,0.701621,0.054202,0.566508,0.655823,0.732876,0.648076
0.053527,0.617164,0.700867,0.719613,0.703472,0.056688,0.576889,0.672687,0.708531,0.675488
0.052946,0.617725,0.700409,0.71515,0.702935,0.053199,0.586854,0.679026,0.734067,0.66917
0.052518,0.615399,0.698441,0.717493,0.702603,0.053386,0.583327,0.675796,0.742943,0.65851
0.052248,0.624528,0.707974,0.727596,0.711845,0.052728,0.595741,0.690749,0.721313,0.686636
0.052188,0.620177,0.702858,0.720106,0.706508,0.05413,0.579481,0.672403,0.727702,0.666565
0.052389,0.566931,0.659762,0.706495,0.648435
