loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.301136,0.054903,0.094821,0.164369,0.172229,0.25646,0.077223,0.124302,0.224565,0.202618
0.190231,0.269293,0.349022,0.394903,0.426418,0.118057,0.382102,0.461321,0.515199,0.495639
0.122304,0.445402,0.532434,0.542597,0.566234,0.080751,0.497192,0.586297,0.584063,0.612697
0.094226,0.500082,0.586114,0.588962,0.610274,0.067813,0.522431,0.60797,0.633406,0.613651
0.084511,0.520295,0.606955,0.637324,0.622957,0.063616,0.535071,0.622335,0.670271,0.6233
0.07909,0.540004,0.629977,0.654592,0.642729,0.0713,0.527651,0.622203,0.6672,0.629587
0.07553,0.548941,0.638329,0.657334,0.64851,0.069327,0.51005,0.60706,0.681709,0.58714
0.073041,0.557004,0.646478,0.6646,0.655948,0.059261,0.564335,0.659015,0.67958,0.663188
0.071482,0.569833,0.661173,0.677794,0.671306,0.058158,0.56477,0.659308,0.675372,0.674741
0.069801,0.574716,0.663724,0.677038,0.673247,0.059497,0.559306,0.655585,0.702146,0.638233
0.069591,0.577316,0.667326,0.67743,0.676566,0.069666,0.51241,0.608837,0.688094,0.589496
0.068327,0.571942,0.660165,0.670178,0.668487,0.05596,0.575153,0.66713,0.705696,0.65949
0.0676,0.579131,0.668101,0.678327,0.678959,0.064321,0.539347,0.633598,0.687755,0.628875
0.066629,0.58367,0.671748,0.682101,0.680673,0.066162,0.540835,0.638206,0.697337,0.631355
0.067004,0.57711,0.665642,0.67515,0.675595,0.056203,0.575689,0.668891,0.697983,0.665487
0.065304,0.587491,0.675138,0.685749,0.684182,0.069968,0.532603,0.629654,0.699314,0.614123
0.065023,0.587217,0.675046,0.686713,0.684431,0.054831,0.577779,0.670209,0.707959,0.669106
0.064522,0.587213,0.674092,0.686556,0.681833,0.06086,0.568531,0.667365,0.698663,0.665267
0.064499,0.589149,0.675641,0.685803,0.682705,0.056089,0.565291,0.655326,0.706273,0.645995
0.064306,0.590569,0.677407,0.687827,0.685317,0.062081,0.554853,0.655268,0.694183,0.65614
0.063719,0.589794,0.6761,0.686615,0.682539,0.053949,0.584759,0.677799,0.70082,0.675939
0.062823,0.594098,0.680689,0.689876,0.688575,0.055156,0.576024,0.668454,0.698735,0.667744
0.062664,0.59504,0.681618,0.692691,0.688794,0.057071,0.571644,0.666645,0.70144,0.659071
0.061892,0.59919,0.684804,0.697568,0.690593,0.067053,0.522685,0.619477,0.705758,0.599193
0.061684,0.597803,0.682393,0.692892,0.688691,0.055177,0.574311,0.666184,0.703141,0.66312
0.061514,0.598708,0.684017,0.694988,0.689813,0.057655,0.576324,0.673012,0.682601,0.689518
0.061143,0.600715,0.686377,0.697682,0.691544,0.055363,0.577953,0.670559,0.701086,0.666293
0.061226,0.599686,0.685104,0.695751,0.691462,0.055646,0.582177,0.675136,0.705984,0.670201
0.060669,0.602182,0.687264,0.699059,0.693722,0.055569,0.581978,0.674485,0.704456,0.672242
0.060248,0.605129,0.690257,0.701329,0.696352,0.056084,0.571348,0.664503,0.72422,0.650016
0.059445,0.609169,0.693831,0.702846,0.699244,0.058349,0.580259,0.67439,0.713891,0.665602
0.059077,0.602741,0.686052,0.694141,0.692053,0.057639,0.570614,0.664119,0.712964,0.650304
0.059447,0.606469,0.691179,0.69998,0.697296,0.055185,0.58747,0.680659,0.708721,0.679823
0.058659,0.606849,0.691096,0.702571,0.695251,0.0562,0.582734,0.673812,0.716582,0.667686
0.05831,0.61029,0.693859,0.705313,0.697735,0.057056,0.576844,0.671199,0.700505,0.67478
0.058912,0.54375,0.633559,0.657798,0.631605
