loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.290196,0.067919,0.119094,0.174742,0.158131,0.27101,0.098952,0.164172,0.278782,0.211015
0.166824,0.408068,0.501239,0.512721,0.525602,0.109656,0.455766,0.549597,0.568849,0.569026
0.108006,0.494517,0.583126,0.578115,0.604802,0.073095,0.514699,0.602252,0.612507,0.602092
0.091206,0.502857,0.589457,0.583657,0.61238,0.06493,0.528717,0.61327,0.606865,0.630097
0.081034,0.52248,0.606008,0.599552,0.624325,0.065917,0.520001,0.60648,0.637823,0.59107
0.075376,0.530417,0.612024,0.604771,0.628494,0.070037,0.502425,0.592075,0.62543,0.583426
0.072489,0.532208,0.612904,0.606421,0.630099,0.057151,0.548122,0.629261,0.634104,0.628633
0.068832,0.540334,0.620066,0.638697,0.633568,0.065896,0.536068,0.625856,0.665012,0.631427
0.067533,0.550336,0.633559,0.672354,0.641591,0.057148,0.559295,0.651018,0.658866,0.667134
0.065443,0.56495,0.650049,0.67597,0.656598,0.056819,0.556474,0.646299,0.69153,0.640886
0.065828,0.5667,0.653414,0.672363,0.659656,0.06425,0.526974,0.620224,0.687517,0.601264
0.063774,0.566585,0.651911,0.669317,0.656793,0.055301,0.561188,0.649632,0.673662,0.661152
0.062836,0.576367,0.662619,0.678152,0.670776,0.062483,0.543892,0.639554,0.690156,0.628241
0.062265,0.581308,0.668238,0.68193,0.676129,0.05531,0.564414,0.654153,0.679874,0.656252
0.061696,0.578068,0.664284,0.678136,0.671253,0.064827,0.530917,0.625414,0.684104,0.619437
0.06058,0.586804,0.672144,0.684649,0.680132,0.07172,0.516478,0.609698,0.693446,0.592002
0.060576,0.583455,0.669006,0.683398,0.675438,0.064377,0.532339,0.626234,0.70005,0.609139
0.059242,0.590371,0.674947,0.689178,0.680767,0.058943,0.563325,0.658107,0.691996,0.654159
0.059794,0.58684,0.671559,0.684548,0.677529,0.056198,0.566541,0.654914,0.696763,0.651613
0.058994,0.592393,0.677201,0.691027,0.68215,0.052852,0.569413,0.660368,0.695139,0.671805
0.058464,0.590937,0.675227,0.687625,0.679876,0.056266,0.555986,0.645977,0.699262,0.643034
0.058378,0.590122,0.674169,0.68829,0.679642,0.053301,0.576515,0.668917,0.710951,0.658715
0.057757,0.599313,0.683859,0.697386,0.689248,0.051355,0.584449,0.675767,0.696307,0.681516
0.056736,0.598675,0.681791,0.694242,0.68594,0.058471,0.557474,0.650601,0.704108,0.640836
0.056367,0.599335,0.682526,0.695373,0.687234,0.05672,0.567128,0.661326,0.70723,0.651531
0.05632,0.596935,0.679868,0.693213,0.684511,0.058117,0.558803,0.651373,0.707414,0.63945
0.056187,0.600509,0.683762,0.695387,0.688015,0.054348,0.568118,0.657274,0.690608,0.669306
0.055369,0.605087,0.688182,0.700783,0.692766,0.050906,0.579962,0.666825,0.703443,0.66971
0.055084,0.606201,0.689471,0.701693,0.6921,0.053273,0.574505,0.660655,0.710799,0.653942
0.055721,0.598516,0.681319,0.693243,0.686582,0.053593,0.580426,0.671437,0.696753,0.677868
0.054635,0.606748,0.689383,0.70337,0.694297,0.051893,0.580652,0.669868,0.710647,0.665334
0.054348,0.608957,0.691737,0.70485,0.694384,0.050965,0.586308,0.676063,0.711318,0.670019
0.054295,0.610039,0.693409,0.706905,0.6974,0.053548,0.570693,0.658239,0.696057,0.661331
0.053927,0.605009,0.687063,0.699302,0.690589,0.053187,0.573805,0.661782,0.694681,0.671136
0.052966,0.613803,0.695224,0.708953,0.698413,0.058491,0.557685,0.644609,0.686057,0.64926
0.053098,0.613413,0.695596,0.70765,0.6989,0.054348,0.563074,0.647924,0.703371,0.648743
0.052777,0.615968,0.697996,0.708266,0.701287,0.054703,0.582874,0.674545,0.705098,0.671675
0.052505,0.614853,0.697396,0.708253,0.701623,0.054094,0.580607,0.671065,0.712213,0.668092
0.051065,0.57015,0.659259,0.682045,0.652938
