loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.280007,0.071343,0.119982,0.158959,0.151614,0.245512,0.092461,0.142439,0.195283,0.164582
0.1886,0.253841,0.337111,0.404481,0.370815,0.137609,0.465558,0.558489,0.549705,0.593354
0.123293,0.491868,0.581195,0.575219,0.603485,0.08255,0.510188,0.597631,0.596584,0.614457
0.094874,0.510954,0.596338,0.588823,0.620268,0.067445,0.525948,0.61015,0.631628,0.601319
0.082813,0.528691,0.610094,0.602949,0.628346,0.064416,0.531658,0.615332,0.632606,0.607087
0.078389,0.535956,0.616523,0.609349,0.633448,0.077645,0.491283,0.580745,0.616127,0.576181
0.075399,0.537354,0.61678,0.609761,0.633854,0.05886,0.545215,0.626693,0.631481,0.626996
0.072292,0.545701,0.623898,0.617202,0.638931,0.057477,0.549771,0.630216,0.636882,0.628819
0.070793,0.546916,0.624788,0.623997,0.638867,0.060017,0.540133,0.624399,0.684022,0.630433
0.067923,0.556072,0.636285,0.677409,0.644795,0.055554,0.563457,0.64832,0.703027,0.64341
0.069739,0.560728,0.646124,0.674343,0.654784,0.071487,0.506651,0.595344,0.664643,0.589172
0.06667,0.565917,0.650471,0.670685,0.656752,0.054725,0.569689,0.658913,0.702028,0.654302
0.06604,0.575293,0.661342,0.68026,0.668553,0.058684,0.560931,0.652905,0.695325,0.652834
0.065146,0.5803,0.666848,0.682497,0.673542,0.055606,0.567888,0.657565,0.705325,0.650341
0.064525,0.584196,0.670167,0.685472,0.677843,0.06199,0.542099,0.636684,0.724353,0.611132
0.063367,0.591174,0.676505,0.687808,0.684591,0.067437,0.542463,0.637011,0.709899,0.621369
0.063876,0.587061,0.672555,0.685401,0.679992,0.053624,0.591311,0.685906,0.70511,0.687627
0.062944,0.591551,0.677468,0.688839,0.686595,0.062356,0.559836,0.65788,0.686713,0.666988
0.062448,0.592974,0.677901,0.689269,0.684082,0.056655,0.56241,0.648143,0.711463,0.641927
0.06212,0.600058,0.686111,0.697775,0.693503,0.056358,0.58438,0.680336,0.711246,0.674451
0.061634,0.5972,0.682465,0.693281,0.68735,0.052814,0.58758,0.678475,0.721203,0.667954
0.060493,0.59703,0.680614,0.690183,0.687024,0.060355,0.567931,0.664648,0.715438,0.650352
0.060773,0.600144,0.684197,0.696516,0.691217,0.053983,0.579108,0.668328,0.705616,0.666448
0.059764,0.605168,0.689344,0.702538,0.69428,0.05561,0.586459,0.681221,0.717783,0.671395
0.059555,0.602988,0.686038,0.696762,0.692063,0.054667,0.591334,0.685456,0.716151,0.67877
0.059676,0.604929,0.688617,0.700173,0.695292,0.056763,0.578165,0.673201,0.697377,0.675673
0.059343,0.606475,0.690862,0.699535,0.697788,0.055285,0.572961,0.664995,0.695178,0.671502
0.060224,0.60016,0.684555,0.695882,0.6932,0.054063,0.586242,0.678845,0.702106,0.686535
0.058785,0.610227,0.694309,0.705538,0.698752,0.054463,0.593416,0.685533,0.711242,0.688595
0.058924,0.608438,0.692172,0.703863,0.699036,0.054237,0.580519,0.671873,0.728379,0.655908
0.05788,0.612692,0.69573,0.70541,0.702709,0.053769,0.587453,0.680093,0.711844,0.679042
0.057448,0.614092,0.696548,0.706433,0.700667,0.053121,0.59311,0.686089,0.722326,0.674714
0.057426,0.617398,0.700188,0.709741,0.704992,0.053237,0.590386,0.681938,0.709605,0.681718
0.056603,0.614201,0.696293,0.707808,0.699212,0.053774,0.596265,0.689793,0.714038,0.688153
0.056692,0.615704,0.697582,0.709041,0.700952,0.055376,0.578186,0.670211,0.704676,0.675951
0.055679,0.559134,0.648191,0.663592,0.647395
