loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.289944,0.04534,0.075866,0.195788,0.161284,0.261838,0.072754,0.114905,0.303087,0.19466
0.213804,0.298056,0.368961,0.430189,0.421303,0.175457,0.399628,0.483562,0.530887,0.497346
0.176233,0.468264,0.557444,0.556109,0.581947,0.15524,0.500701,0.590224,0.609958,0.590935
0.161796,0.509803,0.595033,0.588295,0.616904,0.147123,0.522684,0.607313,0.612086,0.625392
0.155432,0.530449,0.61232,0.605301,0.630442,0.146094,0.529186,0.61435,0.62657,0.614443
0.151667,0.538432,0.617629,0.610573,0.632819,0.163529,0.441642,0.533722,0.614292,0.519526
0.150293,0.541981,0.62046,0.613643,0.635412,0.146158,0.524626,0.610101,0.628806,0.607548
0.148767,0.54346,0.620355,0.617938,0.635392,0.14105,0.552166,0.632167,0.633095,0.641357
0.147946,0.550154,0.628171,0.651705,0.64017,0.145598,0.525711,0.611346,0.675118,0.605519
0.1465,0.570025,0.652861,0.685948,0.657945,0.14178,0.555703,0.640644,0.694623,0.640978
0.146587,0.576807,0.663054,0.683016,0.668986,0.152173,0.496369,0.58629,0.678056,0.567534
0.145526,0.5764,0.66036,0.678897,0.664499,0.139178,0.586347,0.675412,0.70618,0.674783
0.145581,0.582249,0.668,0.687883,0.674191,0.145383,0.546945,0.640683,0.688968,0.629898
0.144845,0.588464,0.674097,0.690556,0.679551,0.141545,0.562805,0.649479,0.698306,0.642536
0.144429,0.589275,0.675004,0.69055,0.683504,0.146254,0.531768,0.622443,0.699032,0.607886
0.144002,0.593927,0.678263,0.695751,0.683614,0.142036,0.562329,0.648824,0.70562,0.640538
0.143653,0.595498,0.679458,0.694035,0.684629,0.139644,0.574493,0.661315,0.712493,0.652004
0.14339,0.594733,0.678263,0.693115,0.684599,0.150917,0.529129,0.625557,0.704758,0.605908
0.143914,0.5944,0.678551,0.694083,0.684334,0.153278,0.52417,0.624025,0.645367,0.655513
0.143356,0.60212,0.686479,0.702816,0.690348,0.140353,0.571917,0.659439,0.719523,0.647867
0.142721,0.599635,0.682614,0.698798,0.685159,0.139477,0.583146,0.672611,0.710264,0.676257
0.142551,0.599396,0.682276,0.700328,0.687055,0.141913,0.570234,0.663707,0.697125,0.670735
0.142444,0.602793,0.685678,0.701126,0.689462,0.146284,0.542112,0.635963,0.696753,0.626686
0.141964,0.605568,0.687846,0.702421,0.691096,0.138909,0.578476,0.664446,0.715155,0.667967
0.141887,0.606438,0.688674,0.703583,0.692488,0.144001,0.552333,0.645114,0.71581,0.627005
0.141775,0.609176,0.691105,0.7054,0.695224,0.143936,0.555993,0.649535,0.712832,0.634979
0.141756,0.606242,0.688762,0.703805,0.693041,0.140331,0.584475,0.673893,0.719791,0.665842
0.141623,0.606678,0.688562,0.703075,0.693203,0.138314,0.599284,0.689969,0.725971,0.680421
0.141227,0.612396,0.693958,0.706431,0.697766,0.139971,0.581811,0.67007,0.710989,0.666771
0.14113,0.610932,0.692889,0.707769,0.69626,0.139287,0.583294,0.672314,0.722819,0.657478
0.140673,0.61098,0.692575,0.708013,0.696602,0.138924,0.588889,0.677405,0.730148,0.664764
0.140792,0.611388,0.692639,0.706857,0.695662,0.14047,0.57009,0.659377,0.724111,0.64359
0.140879,0.614508,0.696638,0.708288,0.700224,0.139949,0.574562,0.661647,0.716488,0.653966
0.140352,0.615805,0.696561,0.712633,0.699343,0.149821,0.541155,0.636812,0.708933,0.620341
0.140205,0.619448,0.700467,0.715629,0.701874,0.139874,0.575166,0.662908,0.713962,0.663865
0.140121,0.616902,0.698009,0.714195,0.699886,0.141167,0.574457,0.663593,0.707322,0.662361
0.139783,0.619947,0.700433,0.712006,0.702401,0.139605,0.585593,0.674773,0.732243,0.658826
0.139486,0.619522,0.70015,0.713465,0.702557,0.138799,0.580971,0.664527,0.712908,0.660039
0.138511,0.574296,0.659658,0.685138,0.653099
