loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.297523,0.040318,0.075379,0.196006,0.150834,0.26879,0.063786,0.112599,0.278079,0.156698
0.210835,0.296323,0.383723,0.449931,0.416847,0.143693,0.403972,0.484614,0.508287,0.482004
0.126745,0.461756,0.550494,0.561372,0.568235,0.083092,0.490975,0.578907,0.586443,0.623744
0.092392,0.509967,0.594583,0.600941,0.618723,0.070291,0.516189,0.603767,0.633287,0.60441
0.080985,0.52933,0.611766,0.64401,0.629623,0.070559,0.512469,0.600727,0.653214,0.610029
0.075834,0.537242,0.622037,0.656541,0.633842,0.116785,0.389287,0.475421,0.639079,0.470644
0.072802,0.555393,0.644256,0.661459,0.655823,0.060807,0.557812,0.649193,0.67902,0.65314
0.070163,0.565363,0.654654,0.669476,0.665696,0.057329,0.571101,0.665404,0.692666,0.669922
0.069717,0.572384,0.663313,0.675668,0.676114,0.057522,0.561721,0.654994,0.702902,0.644824
0.067229,0.581935,0.670837,0.681925,0.67954,0.05555,0.572067,0.663497,0.705684,0.651712
0.067925,0.577076,0.666376,0.674872,0.677052,0.060772,0.549858,0.645072,0.706379,0.628017
0.065974,0.576848,0.66372,0.671664,0.672425,0.054952,0.574561,0.666803,0.686455,0.672603
0.065245,0.583447,0.671794,0.681022,0.682504,0.058987,0.55578,0.648344,0.691117,0.649405
0.065248,0.584524,0.672796,0.683141,0.684241,0.074075,0.516141,0.617014,0.689643,0.601088
0.064268,0.584055,0.671646,0.682165,0.682826,0.054882,0.581008,0.676323,0.717528,0.664694
0.063625,0.5917,0.679269,0.689942,0.689412,0.05879,0.558579,0.653614,0.719489,0.633318
0.063132,0.590418,0.677118,0.687155,0.687301,0.053214,0.584872,0.679423,0.718276,0.66854
0.062506,0.590031,0.676208,0.687296,0.686,0.056462,0.571994,0.665421,0.710191,0.664149
0.062469,0.59186,0.677908,0.688897,0.683712,0.0535,0.579594,0.671063,0.708772,0.663568
0.061947,0.594723,0.681264,0.691195,0.688772,0.054816,0.578343,0.670325,0.706212,0.673657
0.061198,0.594023,0.679406,0.690066,0.685959,0.059294,0.56641,0.664427,0.700826,0.662047
0.061069,0.596571,0.682666,0.694621,0.689788,0.077715,0.511418,0.614542,0.681043,0.605414
0.061011,0.599877,0.686171,0.696423,0.694168,0.058621,0.568088,0.663917,0.705809,0.653271
0.059989,0.601365,0.686255,0.696954,0.692979,0.062448,0.556841,0.655594,0.716001,0.635119
0.059793,0.601058,0.685055,0.696042,0.690008,0.057407,0.570534,0.663442,0.705099,0.659065
0.059652,0.599302,0.683468,0.695139,0.688519,0.054574,0.594141,0.690088,0.718911,0.683447
0.059338,0.603169,0.688054,0.700002,0.692843,0.055488,0.581757,0.675315,0.709925,0.66907
0.058753,0.602903,0.68648,0.697031,0.692319,0.052676,0.59283,0.687096,0.721252,0.676554
0.058468,0.608158,0.692158,0.704417,0.695873,0.054187,0.584581,0.675944,0.712737,0.667752
0.059395,0.602906,0.687692,0.700004,0.693783,0.056824,0.5799,0.674796,0.715156,0.667616
0.057917,0.608132,0.692174,0.703877,0.69658,0.054341,0.587101,0.680104,0.711595,0.680972
0.05738,0.608505,0.691932,0.702127,0.695242,0.059608,0.575806,0.675485,0.718258,0.661105
0.057648,0.612936,0.696833,0.707052,0.701981,0.053377,0.590885,0.684533,0.707227,0.690805
0.057321,0.610351,0.69394,0.706422,0.697504,0.054334,0.596734,0.690243,0.71277,0.687579
0.056935,0.612843,0.696156,0.708396,0.700587,0.060055,0.557662,0.649551,0.701323,0.652754
0.056724,0.611276,0.69385,0.704726,0.698075,0.053931,0.582372,0.672764,0.711815,0.670563
0.056016,0.617014,0.699843,0.714747,0.70288,0.056312,0.588033,0.683633,0.724098,0.670243
0.055924,0.61103,0.693095,0.709556,0.69645,0.05489,0.581971,0.672833,0.706499,0.672278
0.054966,0.566469,0.656284,0.68532,0.647806
