loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.298643,0.038694,0.06828,0.170784,0.135259,0.297309,0.029406,0.053163,0.269625,0.156913
0.181128,0.342434,0.422238,0.507183,0.465016,0.123736,0.445191,0.5321,0.571019,0.557274
0.113791,0.483994,0.571993,0.574476,0.594407,0.076311,0.519116,0.60497,0.608366,0.615024
0.091356,0.509108,0.594269,0.588201,0.614906,0.066551,0.527303,0.612531,0.62998,0.604889
0.081934,0.525705,0.608555,0.601637,0.62553,0.061918,0.536665,0.619238,0.620064,0.630616
0.076829,0.533446,0.613813,0.613018,0.628407,0.065316,0.525833,0.61118,0.638183,0.604303
0.076433,0.527931,0.608997,0.613785,0.624946,0.068717,0.507792,0.594828,0.630572,0.582796
0.072072,0.538001,0.61659,0.630469,0.631337,0.060157,0.540688,0.622976,0.635251,0.640509
0.070936,0.540972,0.620857,0.652017,0.632719,0.061575,0.528438,0.614152,0.664506,0.619983
0.068916,0.557345,0.641645,0.669434,0.646707,0.058949,0.543331,0.629955,0.676934,0.617016
0.073279,0.547059,0.635408,0.654234,0.645424,0.062482,0.528823,0.619108,0.667049,0.614243
0.068102,0.562744,0.649278,0.662824,0.655334,0.057067,0.552966,0.639506,0.674494,0.645713
0.067274,0.571934,0.659838,0.670153,0.669039,0.058378,0.546794,0.636269,0.67768,0.636602
0.066124,0.57798,0.665657,0.673632,0.67616,0.059666,0.55371,0.646226,0.681832,0.642254
0.065526,0.578438,0.666399,0.676749,0.675332,0.056887,0.560283,0.649925,0.697484,0.63794
0.06465,0.584801,0.671213,0.680473,0.680416,0.054896,0.572543,0.661168,0.697227,0.656184
0.064263,0.581924,0.66833,0.675759,0.678493,0.056931,0.555318,0.645026,0.691747,0.648332
0.064161,0.582164,0.668377,0.676643,0.676886,0.05738,0.566249,0.660536,0.691576,0.657599
0.063638,0.588594,0.674588,0.681294,0.682141,0.060151,0.548286,0.638503,0.696442,0.624413
0.063008,0.594353,0.681909,0.69124,0.690355,0.058389,0.563924,0.659962,0.687962,0.664895
0.062166,0.592934,0.678573,0.686826,0.685162,0.060816,0.553873,0.649375,0.693521,0.639152
0.061627,0.58963,0.674253,0.68391,0.681413,0.057471,0.560123,0.651588,0.701255,0.64275
0.062438,0.591913,0.678804,0.687135,0.687912,0.057918,0.553298,0.642168,0.697411,0.635329
0.061177,0.59362,0.678561,0.688953,0.684953,0.056894,0.562747,0.652452,0.706985,0.647698
0.061019,0.596786,0.681807,0.689579,0.691295,0.057032,0.558049,0.649882,0.696961,0.644591
0.060769,0.598169,0.683449,0.693458,0.690115,0.059816,0.544745,0.636518,0.712894,0.619369
0.060615,0.594048,0.678774,0.687804,0.684463,0.05909,0.563846,0.661116,0.708612,0.649192
0.059812,0.602126,0.686567,0.6942,0.693877,0.057704,0.563161,0.657239,0.707529,0.647928
0.059693,0.604159,0.689129,0.699568,0.69665,0.055589,0.571274,0.658639,0.706591,0.65211
0.060223,0.602241,0.687732,0.696028,0.69384,0.057901,0.561973,0.655481,0.705328,0.647699
0.059255,0.601696,0.685977,0.694662,0.693231,0.054536,0.578636,0.669116,0.711547,0.662325
0.058704,0.603705,0.688144,0.699907,0.695113,0.055537,0.577442,0.672256,0.711622,0.663302
0.05858,0.609736,0.694777,0.703692,0.701407,0.055915,0.567043,0.654943,0.704263,0.650056
0.058276,0.603838,0.688127,0.704287,0.692424,0.05444,0.574949,0.664845,0.712687,0.656032
0.057737,0.606086,0.689621,0.705417,0.693867,0.05518,0.573232,0.660633,0.711751,0.656238
0.057847,0.605335,0.688698,0.705534,0.695466,0.056216,0.579175,0.67241,0.7029,0.670753
0.058502,0.603034,0.686967,0.701598,0.692744,0.055149,0.585388,0.680271,0.707906,0.678606
0.058193,0.605888,0.6913,0.704635,0.698748,0.054014,0.576567,0.666095,0.718865,0.659703
0.057164,0.613353,0.697315,0.711806,0.702716,0.054522,0.587792,0.680575,0.721129,0.671716
0.056424,0.615435,0.698913,0.71507,0.703755,0.056285,0.568905,0.660058,0.716048,0.656378
0.056323,0.616703,0.700971,0.719943,0.704076,0.055718,0.581512,0.674841,0.726961,0.665448
0.056281,0.616157,0.699826,0.719612,0.703557,0.056175,0.579871,0.672863,0.728047,0.663235
0.055799,0.613637,0.696668,0.712466,0.701867,0.056505,0.576568,0.667581,0.731721,0.656132
0.055466,0.618061,0.701056,0.720517,0.70544,0.05489,0.58357,0.673627,0.728981,0.667808
0.05564,0.616098,0.699332,0.716933,0.702779,0.109753,0.441344,0.529023,0.633017,0.5369
0.055528,0.62372,0.708145,0.727175,0.712262,0.056822,0.582605,0.676285,0.722622,0.671666
0.054578,0.62256,0.705489,0.722312,0.709267,0.056646,0.579514,0.668549,0.722153,0.666013
0.054542,0.623458,0.706424,0.725958,0.708809,0.055222,0.580457,0.671504,0.707988,0.672742
0.054691,0.576453,0.669972,0.693845,0.666972
