loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.271648,0.083808,0.145744,0.199054,0.202218,0.248213,0.106114,0.176996,0.24518,0.251057
0.167349,0.377006,0.478236,0.482602,0.516846,0.111712,0.463582,0.558469,0.565361,0.579288
0.107375,0.487816,0.577384,0.57133,0.600637,0.074037,0.511492,0.599571,0.597325,0.620064
0.088973,0.50483,0.590317,0.583729,0.612132,0.07784,0.485568,0.576499,0.618584,0.562078
0.078511,0.525653,0.608366,0.601095,0.626364,0.061606,0.530934,0.614806,0.619333,0.625595
0.072004,0.533748,0.61365,0.615969,0.629832,0.09563,0.441306,0.534433,0.649246,0.515887
0.067928,0.543604,0.627259,0.662291,0.637363,0.054698,0.554272,0.639731,0.676427,0.640163
0.064761,0.562882,0.649973,0.672837,0.65698,0.058675,0.542716,0.636293,0.678627,0.651061
0.063368,0.571143,0.659701,0.676139,0.668481,0.056252,0.543795,0.634207,0.671291,0.650685
0.060544,0.584778,0.671936,0.682361,0.680475,0.060568,0.544784,0.641338,0.689604,0.634674
0.064444,0.570479,0.659723,0.668572,0.671179,0.055962,0.546561,0.633481,0.694358,0.624526
0.059876,0.57617,0.661699,0.672628,0.669891,0.050768,0.569695,0.658824,0.695224,0.663874
0.059004,0.583865,0.669994,0.680585,0.679914,0.05245,0.565278,0.655905,0.694353,0.657526
0.058239,0.587279,0.673493,0.68323,0.68084,0.053682,0.558921,0.649355,0.698266,0.645255
0.057605,0.586329,0.672489,0.682905,0.680224,0.051315,0.565961,0.654978,0.707064,0.645339
0.056685,0.593392,0.679255,0.689983,0.686798,0.059315,0.54917,0.643827,0.702969,0.632334
0.055787,0.594665,0.679574,0.688476,0.686183,0.050501,0.568587,0.656481,0.707528,0.652332
0.055673,0.59199,0.67671,0.686956,0.684038,0.07277,0.509909,0.608654,0.68863,0.603901
0.056094,0.593623,0.677798,0.689148,0.68339,0.049675,0.574999,0.662128,0.706391,0.661043
0.055201,0.598752,0.684551,0.695084,0.690314,0.061146,0.550375,0.649182,0.703974,0.643585
0.054674,0.59803,0.682035,0.692412,0.688393,0.049849,0.585069,0.678387,0.699976,0.682151
0.053669,0.597972,0.681592,0.692461,0.687493,0.056935,0.550928,0.644011,0.700262,0.642351
0.054061,0.598578,0.682939,0.693066,0.690107,0.051186,0.579482,0.673778,0.706998,0.671853
0.052859,0.60574,0.688947,0.70035,0.694062,0.049588,0.580842,0.671949,0.707167,0.676997
0.052953,0.60397,0.687236,0.696053,0.693204,0.054957,0.567369,0.66368,0.706815,0.656379
0.052577,0.605812,0.688928,0.69765,0.694367,0.065316,0.539324,0.639171,0.711544,0.621034
0.052181,0.606894,0.69052,0.697962,0.696041,0.052352,0.570127,0.663131,0.707439,0.6648
0.052158,0.610417,0.693421,0.701667,0.698772,0.054346,0.573559,0.667692,0.717481,0.654587
0.05133,0.613673,0.696425,0.70686,0.701405,0.048457,0.586489,0.676417,0.712146,0.67426
0.051677,0.60881,0.691778,0.701374,0.696299,0.050163,0.578713,0.66869,0.712251,0.666243
0.050579,0.614275,0.697077,0.70582,0.702071,0.050508,0.583652,0.672864,0.712426,0.66939
0.050412,0.612275,0.694625,0.700939,0.700528,0.0499,0.581375,0.670357,0.716166,0.666669
0.050484,0.615107,0.697681,0.706873,0.703127,0.052782,0.574905,0.666508,0.720643,0.664305
0.050086,0.613481,0.695506,0.707423,0.701047,0.051061,0.585894,0.677222,0.727143,0.673527
0.049464,0.617766,0.699819,0.712955,0.7034,0.051537,0.575013,0.663404,0.715378,0.665923
0.049179,0.619374,0.701024,0.715298,0.705035,0.050503,0.587488,0.679439,0.73126,0.669574
0.048859,0.617532,0.698444,0.714357,0.702131,0.050534,0.59271,0.686003,0.733858,0.677496
0.048468,0.619811,0.701087,0.71775,0.7047,0.051738,0.585643,0.678301,0.730217,0.669198
0.048338,0.624048,0.705727,0.719741,0.709222,0.051168,0.590323,0.68445,0.733495,0.673857
0.047093,0.576565,0.664445,0.684469,0.656842
