loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.311083,0.038796,0.070262,0.155107,0.121869,0.293051,0.03772,0.06943,0.190955,0.114591
0.226,0.287342,0.37858,0.448381,0.402246,0.180597,0.420154,0.508753,0.532013,0.526126
0.160146,0.475971,0.56486,0.560475,0.586718,0.142536,0.508973,0.593252,0.585325,0.619683
0.127318,0.494191,0.580947,0.577705,0.604105,0.083904,0.522357,0.607806,0.621588,0.60649
0.09172,0.524262,0.608106,0.602251,0.627022,0.069405,0.52026,0.606588,0.626669,0.600554
0.079919,0.529942,0.610321,0.604438,0.626136,0.067171,0.51758,0.603565,0.625445,0.600406
0.075427,0.533995,0.613819,0.636222,0.628583,0.065147,0.528211,0.612348,0.607501,0.644013
0.071802,0.54397,0.627975,0.652245,0.638586,0.06507,0.526908,0.616497,0.648865,0.627949
0.069521,0.562824,0.65076,0.66755,0.659806,0.06013,0.543981,0.635226,0.668517,0.637634
0.067705,0.568804,0.655362,0.669541,0.66305,0.064311,0.515282,0.607545,0.683551,0.586385
0.066655,0.576491,0.66392,0.677335,0.672897,0.058886,0.544114,0.634722,0.691252,0.621279
0.065704,0.568113,0.653632,0.666358,0.660451,0.055058,0.561504,0.649269,0.680298,0.660629
0.064689,0.580002,0.666781,0.677391,0.674728,0.05567,0.558467,0.64648,0.676673,0.653507
0.064109,0.579636,0.665778,0.679701,0.673584,0.056655,0.552683,0.640977,0.708153,0.632039
0.063241,0.581297,0.667559,0.679417,0.676349,0.053812,0.569968,0.660323,0.710509,0.647628
0.062683,0.584934,0.670324,0.682063,0.679341,0.056584,0.553924,0.643167,0.708205,0.631613
0.063051,0.581503,0.667739,0.68049,0.677352,0.054234,0.557889,0.64283,0.693953,0.642946
0.061706,0.5874,0.672899,0.683951,0.681145,0.055477,0.57787,0.673311,0.699471,0.675854
0.061591,0.588343,0.673932,0.684026,0.681209,0.054329,0.564194,0.650523,0.713,0.643173
0.061411,0.592178,0.678193,0.690033,0.685197,0.052936,0.58128,0.675243,0.705785,0.672799
0.060198,0.59485,0.679177,0.6885,0.683742,0.052834,0.581137,0.674709,0.704335,0.67373
0.059699,0.594438,0.67921,0.689502,0.685872,0.053315,0.576037,0.668434,0.711341,0.665003
0.059793,0.596902,0.682126,0.693148,0.688671,0.052313,0.581614,0.672279,0.713444,0.662866
0.058599,0.600485,0.684537,0.696505,0.688867,0.051842,0.591726,0.684561,0.712855,0.680412
0.058505,0.601408,0.685248,0.696547,0.69047,0.052139,0.578682,0.670086,0.710905,0.665637
0.058503,0.601032,0.684731,0.698285,0.690919,0.055506,0.576612,0.672654,0.704034,0.670877
0.058305,0.601809,0.685772,0.697651,0.69108,0.052231,0.59173,0.68551,0.713808,0.681632
0.057745,0.605088,0.689008,0.701706,0.696084,0.052231,0.593769,0.688441,0.718701,0.680292
0.057714,0.607042,0.691631,0.705906,0.696719,0.050911,0.597433,0.690659,0.715795,0.692297
0.057546,0.605484,0.689252,0.703023,0.694566,0.053018,0.578981,0.670993,0.724,0.657222
0.056695,0.608132,0.691846,0.705426,0.697063,0.053492,0.588033,0.681604,0.723994,0.670137
0.056307,0.606382,0.68959,0.703287,0.692634,0.051092,0.595737,0.687892,0.712102,0.685581
0.056095,0.61433,0.698363,0.712674,0.702949,0.054177,0.574202,0.664808,0.699952,0.669465
0.056035,0.610026,0.693638,0.711303,0.697666,0.052896,0.58428,0.673594,0.72389,0.664402
0.055716,0.610517,0.693217,0.713238,0.696151,0.053188,0.579344,0.669121,0.71429,0.666892
0.055283,0.613065,0.695683,0.714381,0.699548,0.05453,0.57622,0.668653,0.720694,0.655282
0.054977,0.61537,0.697994,0.713796,0.700659,0.052326,0.598104,0.692099,0.716815,0.690193
0.054775,0.611058,0.693515,0.71164,0.69761,0.052827,0.588648,0.680442,0.727067,0.668405
0.054109,0.625433,0.709479,0.726446,0.712155,0.051147,0.598831,0.691731,0.720012,0.689681
0.053409,0.570066,0.661177,0.689786,0.655835
