loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.286687,0.058254,0.100961,0.163881,0.156919,0.25686,0.08365,0.143005,0.253824,0.18409
0.187727,0.26042,0.33189,0.344307,0.375329,0.114913,0.40975,0.496637,0.514541,0.509026
0.12648,0.457245,0.549181,0.546351,0.573188,0.078825,0.494788,0.582674,0.574264,0.61793
0.100782,0.497696,0.584849,0.578398,0.608544,0.066621,0.524617,0.609699,0.612718,0.613354
0.087307,0.520229,0.604288,0.59875,0.622402,0.067069,0.509207,0.597024,0.615596,0.59696
0.080128,0.526717,0.608217,0.609567,0.623967,0.092239,0.430332,0.520978,0.618399,0.51836
0.076533,0.532422,0.614274,0.648308,0.628732,0.0656,0.510509,0.599721,0.670981,0.603686
0.073405,0.539093,0.622936,0.659555,0.632669,0.058756,0.547162,0.638614,0.683054,0.635424
0.071259,0.551375,0.638769,0.667043,0.645397,0.065488,0.523397,0.621898,0.68123,0.610556
0.068971,0.563893,0.652012,0.671305,0.659399,0.055846,0.56129,0.648635,0.689285,0.649074
0.075169,0.543526,0.634343,0.653571,0.644728,0.05633,0.556325,0.647509,0.684398,0.652019
0.069324,0.557883,0.646044,0.659513,0.652968,0.056177,0.5596,0.650534,0.675893,0.662955
0.067826,0.56688,0.656201,0.66856,0.666655,0.055333,0.560775,0.649973,0.675688,0.653279
0.066743,0.56838,0.656781,0.668693,0.666,0.056544,0.565539,0.66025,0.694315,0.651565
0.066181,0.573163,0.662372,0.672957,0.672796,0.058455,0.549564,0.639841,0.684579,0.641574
0.065264,0.57834,0.6662,0.676869,0.676296,0.067844,0.515468,0.610549,0.690515,0.592715
0.064153,0.579403,0.666773,0.675461,0.67589,0.054443,0.56623,0.657292,0.699106,0.652777
0.063539,0.579463,0.666058,0.676538,0.674436,0.058389,0.560165,0.655001,0.692011,0.650415
0.064081,0.579112,0.665872,0.67438,0.674496,0.054581,0.569389,0.662817,0.703135,0.653528
0.063239,0.583165,0.670668,0.680047,0.678397,0.058118,0.564341,0.661822,0.701883,0.655845
0.062091,0.588064,0.673978,0.683088,0.679781,0.054022,0.574975,0.670825,0.700558,0.67108
0.061674,0.587843,0.673815,0.68579,0.68,0.053874,0.572482,0.665435,0.697815,0.65709
0.061699,0.588742,0.675304,0.683917,0.68409,0.054174,0.57197,0.66496,0.70289,0.662696
0.061063,0.59068,0.676228,0.687123,0.681103,0.054316,0.573383,0.665062,0.709316,0.655153
0.060979,0.58949,0.674197,0.684189,0.683088,0.052889,0.581407,0.67417,0.712321,0.66726
0.060556,0.593972,0.678716,0.686441,0.686174,0.057126,0.566689,0.661742,0.704696,0.654635
0.060541,0.590923,0.676489,0.685563,0.684172,0.061171,0.547038,0.642211,0.710904,0.624787
0.059728,0.593865,0.67869,0.688639,0.686922,0.05576,0.572808,0.668392,0.707055,0.657087
0.059518,0.597979,0.683384,0.691164,0.690929,0.052753,0.580388,0.673456,0.693576,0.683511
0.059445,0.596067,0.681169,0.688863,0.689383,0.053946,0.573077,0.666023,0.712277,0.652804
0.059006,0.599925,0.685272,0.691404,0.69325,0.052875,0.579542,0.671181,0.703292,0.66972
0.0586,0.597459,0.681888,0.689345,0.687515,0.052363,0.584866,0.67743,0.702825,0.678004
0.05862,0.605581,0.690698,0.698367,0.697464,0.051767,0.584512,0.675927,0.709986,0.672708
0.057859,0.599725,0.683971,0.692483,0.689293,0.052588,0.580546,0.672894,0.711295,0.670366
0.057461,0.605259,0.689322,0.697388,0.69398,0.051582,0.585341,0.675625,0.712787,0.669355
0.057307,0.601484,0.684701,0.691264,0.690486,0.052954,0.578873,0.670976,0.718535,0.660238
0.05732,0.602932,0.685933,0.693662,0.690656,0.053418,0.588671,0.683795,0.709533,0.67835
0.056829,0.604297,0.68784,0.698211,0.693655,0.052531,0.589332,0.682674,0.717862,0.674811
0.056523,0.611196,0.695247,0.704989,0.699651,0.051803,0.58943,0.682306,0.715496,0.675059
0.056444,0.60867,0.691677,0.69947,0.696367,0.0526,0.588308,0.681475,0.713486,0.675536
0.055672,0.610644,0.693642,0.700419,0.698636,0.054037,0.585337,0.679685,0.720415,0.665519
0.056211,0.613824,0.698283,0.704855,0.704507,0.052732,0.585546,0.676613,0.71462,0.669353
0.056033,0.604472,0.687345,0.694419,0.693424,0.051553,0.589018,0.680506,0.712001,0.675914
0.055655,0.61283,0.696225,0.702305,0.70175,0.052247,0.590173,0.681949,0.713999,0.677381
0.055532,0.608737,0.69113,0.698373,0.696697,0.053296,0.58216,0.673723,0.713768,0.66595
0.055633,0.617852,0.701653,0.707422,0.70759,0.051689,0.590889,0.681911,0.716194,0.678643
0.055179,0.612314,0.694719,0.70211,0.699418,0.055022,0.580974,0.67387,0.717066,0.664901
0.055208,0.612132,0.69526,0.702984,0.701094,0.052273,0.587445,0.678762,0.71825,0.671012
0.0557,0.612634,0.696737,0.702734,0.702839,0.052098,0.59032,0.68251,0.717077,0.676745
0.055104,0.612088,0.694897,0.701779,0.699262,0.05258,0.594108,0.687233,0.715862,0.681516
0.05484,0.613196,0.69617,0.701286,0.702589,0.052594,0.593628,0.686893,0.717963,0.67897
0.054943,0.611284,0.693491,0.701396,0.697919,0.052309,0.590344,0.682468,0.720348,0.673499
0.054762,0.62023,0.702985,0.710619,0.70672,0.052366,0.589236,0.681249,0.719268,0.671176
0.052932,0.56964,0.657703,0.674008,0.652182
