loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.295931,0.062624,0.113483,0.160648,0.141145,0.266331,0.090662,0.155349,0.200797,0.181608
0.184195,0.358294,0.456619,0.465512,0.484718,0.104816,0.445431,0.532691,0.536211,0.544233
0.122863,0.47337,0.564082,0.559142,0.585325,0.073833,0.520103,0.605601,0.609366,0.610218
0.096542,0.503028,0.589779,0.584971,0.609839,0.068419,0.514147,0.599741,0.605698,0.610937
0.084187,0.521423,0.604464,0.597874,0.622612,0.061465,0.538038,0.620885,0.639249,0.610722
0.077986,0.529485,0.610105,0.603271,0.626489,0.067186,0.517161,0.604491,0.623392,0.602063
0.074532,0.533996,0.614713,0.622324,0.631419,0.058249,0.547925,0.629062,0.640595,0.627488
0.071112,0.544344,0.628594,0.656952,0.639842,0.059893,0.540752,0.626547,0.65439,0.644805
0.069048,0.55837,0.646062,0.669723,0.655011,0.061139,0.51981,0.606315,0.640799,0.635697
0.066721,0.570128,0.657323,0.672785,0.666428,0.054743,0.556172,0.639975,0.671115,0.650269
0.067099,0.569683,0.657057,0.67199,0.665754,0.058041,0.537539,0.622623,0.669993,0.629901
0.065812,0.563464,0.649049,0.662895,0.655535,0.05537,0.556432,0.642697,0.670185,0.656968
0.06517,0.576133,0.663566,0.673312,0.674372,0.055828,0.550155,0.635381,0.674896,0.642986
0.064137,0.575256,0.662216,0.674537,0.671173,0.065014,0.526611,0.617973,0.679628,0.609167
0.063931,0.577616,0.665298,0.676707,0.67537,0.054813,0.561148,0.647905,0.68558,0.644602
0.063062,0.582216,0.668375,0.678748,0.677619,0.06285,0.53152,0.620059,0.682246,0.613799
0.062232,0.583391,0.669385,0.680151,0.67654,0.053244,0.557243,0.640412,0.696199,0.633166
0.061614,0.585037,0.670604,0.682126,0.677593,0.060011,0.544153,0.636095,0.688221,0.631078
0.06147,0.587534,0.673579,0.682913,0.680469,0.053012,0.565363,0.651718,0.700966,0.643507
0.061281,0.588551,0.674059,0.686618,0.682158,0.05858,0.54846,0.642521,0.698234,0.639023
0.060363,0.590931,0.675569,0.686333,0.6803,0.054905,0.560901,0.65091,0.704627,0.644126
0.059629,0.592035,0.676385,0.68592,0.684643,0.05349,0.567234,0.65816,0.702557,0.649645
0.0604,0.59096,0.676608,0.685304,0.686751,0.052498,0.568497,0.656587,0.707111,0.649427
0.059453,0.595728,0.681165,0.690991,0.688388,0.051257,0.584369,0.673943,0.710653,0.665403
0.059779,0.592244,0.676519,0.685451,0.685786,0.054577,0.562896,0.651537,0.708808,0.64103
0.058881,0.596509,0.681323,0.691665,0.687815,0.05776,0.553898,0.646391,0.703899,0.638104
0.058894,0.593554,0.677775,0.686483,0.684885,0.054833,0.566607,0.656159,0.710698,0.647435
0.05805,0.601235,0.685577,0.693618,0.692134,0.052694,0.570127,0.657675,0.714387,0.651396
0.057895,0.603904,0.688533,0.699068,0.695131,0.052365,0.578472,0.667945,0.693964,0.675951
0.057709,0.601532,0.685821,0.694296,0.691922,0.052739,0.57067,0.658398,0.709506,0.648236
0.057127,0.603886,0.687888,0.696893,0.693472,0.053592,0.574017,0.662348,0.72183,0.650406
0.056711,0.602019,0.685021,0.692786,0.690826,0.050834,0.584349,0.672803,0.705759,0.668036
0.056159,0.608588,0.692244,0.701124,0.697658,0.053552,0.575175,0.664746,0.710184,0.660442
0.055937,0.609845,0.693466,0.702912,0.697637,0.05244,0.580763,0.670074,0.712848,0.668154
0.05533,0.60944,0.692537,0.701858,0.697542,0.055489,0.559442,0.647307,0.703353,0.651525
0.055436,0.61174,0.694583,0.706589,0.699531,0.054486,0.575975,0.667893,0.709285,0.663462
0.054957,0.608136,0.690061,0.701759,0.695615,0.0537,0.581508,0.671532,0.712328,0.668765
0.054631,0.61135,0.693655,0.705129,0.698939,0.053621,0.580826,0.671307,0.720219,0.665145
0.054437,0.617002,0.699985,0.712834,0.704728,0.052949,0.584892,0.67611,0.718876,0.669225
0.054462,0.614569,0.696782,0.711627,0.700975,0.053597,0.580106,0.66944,0.716007,0.663454
0.053391,0.617815,0.700023,0.714832,0.703772,0.055728,0.576128,0.667839,0.717917,0.657045
0.053429,0.617735,0.699021,0.711349,0.705516,0.056437,0.569776,0.658093,0.714626,0.651573
0.053353,0.570895,0.661517,0.690801,0.653813
