loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.276261,0.092275,0.153652,0.197104,0.20453,0.256863,0.140424,0.198027,0.262034,0.277605
0.169876,0.385796,0.480042,0.495709,0.519011,0.118283,0.462535,0.555596,0.571861,0.56658
0.114595,0.487072,0.57625,0.569691,0.599928,0.081662,0.495226,0.584962,0.586192,0.609034
0.092099,0.50914,0.594151,0.587804,0.616013,0.0645,0.531414,0.614931,0.622435,0.61457
0.084128,0.523485,0.606901,0.599911,0.624716,0.069924,0.511965,0.599407,0.624739,0.590369
0.078146,0.532316,0.61325,0.606238,0.629453,0.136278,0.357203,0.437096,0.599144,0.43969
0.074869,0.531462,0.611737,0.611667,0.628138,0.064209,0.535641,0.620342,0.621577,0.630755
0.070766,0.543002,0.624391,0.650285,0.636326,0.056604,0.55627,0.64193,0.668215,0.650453
0.068945,0.555933,0.640985,0.667151,0.649246,0.060696,0.532678,0.621386,0.664808,0.623247
0.066738,0.571034,0.656467,0.674502,0.662753,0.07234,0.503443,0.596685,0.668614,0.5812
0.069559,0.560021,0.64727,0.662786,0.657097,0.06545,0.518067,0.608619,0.679459,0.592268
0.065498,0.566778,0.651249,0.665491,0.656293,0.054558,0.565837,0.650274,0.678135,0.653912
0.064753,0.57732,0.664441,0.67865,0.671236,0.073222,0.500106,0.592773,0.661071,0.574879
0.063662,0.581475,0.668007,0.681301,0.67625,0.062842,0.536036,0.629262,0.691433,0.618136
0.0629,0.581778,0.668056,0.67806,0.675594,0.054626,0.559383,0.642296,0.685698,0.644793
0.062374,0.58261,0.667611,0.682109,0.674937,0.060091,0.537915,0.626246,0.694956,0.612649
0.061511,0.587398,0.672367,0.683707,0.679508,0.054491,0.557728,0.643646,0.689995,0.636961
0.060491,0.591449,0.676477,0.688278,0.683298,0.062536,0.541757,0.63676,0.691354,0.624445
0.060727,0.591083,0.676032,0.687947,0.682319,0.05705,0.554914,0.644256,0.702404,0.634748
0.060445,0.595246,0.680721,0.694791,0.686432,0.062075,0.538293,0.633308,0.691046,0.624222
0.059805,0.591564,0.676022,0.688029,0.680891,0.063017,0.538559,0.634362,0.6925,0.631912
0.059214,0.597815,0.682388,0.693443,0.687626,0.056734,0.552936,0.643757,0.70078,0.62937
0.059162,0.597291,0.682262,0.693859,0.688075,0.061292,0.548795,0.646626,0.695935,0.632803
0.058409,0.600852,0.685103,0.697386,0.690172,0.055699,0.567426,0.660486,0.705836,0.653749
0.0584,0.599169,0.683226,0.693834,0.689717,0.052986,0.579415,0.671353,0.712805,0.662804
0.057883,0.601681,0.685852,0.69884,0.691056,0.055481,0.568289,0.66076,0.708437,0.651323
0.057972,0.602305,0.686474,0.693888,0.69211,0.053459,0.57661,0.667804,0.705225,0.671063
0.057306,0.603442,0.686911,0.696078,0.693126,0.06196,0.543552,0.639025,0.697295,0.6244
0.056812,0.606404,0.68999,0.699614,0.695771,0.0529,0.58464,0.674304,0.705846,0.67422
0.056616,0.60586,0.689514,0.69944,0.695236,0.052059,0.584721,0.676466,0.715861,0.666236
0.056261,0.60963,0.693331,0.703642,0.698549,0.054408,0.57996,0.672046,0.713234,0.663336
0.05576,0.610664,0.693829,0.700154,0.69926,0.052429,0.58298,0.673089,0.715027,0.666676
0.055766,0.613418,0.697029,0.70663,0.702694,0.053068,0.58907,0.682654,0.703886,0.685583
0.05535,0.613037,0.696635,0.704949,0.700886,0.054652,0.57386,0.663705,0.713879,0.654154
0.0547,0.615529,0.69769,0.710306,0.700572,0.056092,0.571857,0.662927,0.704306,0.664021
0.054796,0.614165,0.696539,0.708409,0.701335,0.054282,0.576366,0.665672,0.713416,0.663155
0.054301,0.614937,0.697256,0.706237,0.702379,0.054939,0.586312,0.677364,0.715635,0.670232
0.054013,0.614721,0.697433,0.70978,0.702451,0.054643,0.580656,0.671494,0.715587,0.667735
0.054046,0.62128,0.704926,0.715726,0.709289,0.05346,0.592777,0.685661,0.713401,0.681701
0.053525,0.619241,0.701478,0.711865,0.705098,0.055099,0.58365,0.67647,0.713277,0.671344
0.052526,0.565321,0.653554,0.68032,0.648404
