loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.289747,0.064645,0.114222,0.134831,0.147698,0.274553,0.072193,0.124015,0.148887,0.156422
0.188536,0.253021,0.332343,0.325658,0.364362,0.145254,0.280882,0.362307,0.341028,0.412305
0.125175,0.464663,0.557221,0.55736,0.57916,0.08288,0.508121,0.595276,0.593582,0.624062
0.096532,0.50239,0.588005,0.582959,0.612022,0.077328,0.48818,0.579437,0.605883,0.58072
0.083493,0.52412,0.607176,0.602374,0.626819,0.076207,0.483965,0.573882,0.616249,0.565355
0.077064,0.529287,0.610612,0.630833,0.629265,0.075242,0.496732,0.589627,0.657733,0.584601
0.073375,0.536266,0.617155,0.647127,0.634088,0.058342,0.5418,0.626292,0.677059,0.62904
0.069789,0.546659,0.630055,0.66283,0.641697,0.056526,0.558522,0.650589,0.684268,0.664515
0.06817,0.560849,0.647081,0.677112,0.655642,0.062904,0.533033,0.626215,0.679345,0.636606
0.065483,0.573928,0.660984,0.68352,0.668464,0.071977,0.499996,0.596084,0.68375,0.584873
0.067407,0.56702,0.655055,0.670685,0.664025,0.056702,0.556322,0.649875,0.700695,0.655403
0.063549,0.571786,0.657375,0.673141,0.663045,0.051441,0.589681,0.682194,0.706337,0.682936
0.062912,0.582907,0.670082,0.682129,0.677309,0.052916,0.568469,0.655118,0.705624,0.650216
0.062107,0.581963,0.66847,0.68201,0.676662,0.052785,0.576422,0.667198,0.717074,0.664695
0.06133,0.582184,0.668772,0.681833,0.676957,0.053419,0.566213,0.654869,0.714359,0.649069
0.060951,0.587365,0.672772,0.683843,0.679584,0.061411,0.549665,0.646174,0.723724,0.625355
0.060151,0.58808,0.673895,0.686589,0.680525,0.055633,0.567751,0.658946,0.705207,0.654928
0.059687,0.592081,0.677789,0.689708,0.683752,0.058469,0.572806,0.67183,0.710205,0.666893
0.059417,0.591476,0.675825,0.685747,0.683032,0.056729,0.563068,0.657209,0.722149,0.640494
0.059125,0.590357,0.675364,0.687992,0.682662,0.051188,0.58436,0.67527,0.721106,0.668591
0.05813,0.596629,0.681572,0.694455,0.68731,0.054421,0.567634,0.661427,0.709501,0.657921
0.057559,0.592674,0.676564,0.689247,0.682666,0.051688,0.584249,0.677861,0.712989,0.674474
0.057708,0.600703,0.685991,0.698705,0.691764,0.057245,0.560856,0.656132,0.698417,0.64648
0.056789,0.599934,0.683868,0.695311,0.689423,0.050659,0.594675,0.68574,0.715606,0.681535
0.056243,0.601341,0.684405,0.694505,0.69015,0.05254,0.579637,0.673394,0.702728,0.667027
0.056774,0.602797,0.686932,0.700325,0.69265,0.056102,0.571554,0.66884,0.723086,0.650212
0.056603,0.60143,0.685286,0.696389,0.691926,0.05337,0.582395,0.673905,0.717174,0.66976
0.055153,0.610199,0.693314,0.703347,0.699193,0.054548,0.577062,0.671669,0.72746,0.65461
0.054916,0.609306,0.692866,0.704251,0.697358,0.050279,0.592299,0.682601,0.718309,0.679539
0.054947,0.608177,0.692073,0.703851,0.696795,0.049849,0.589591,0.678215,0.728426,0.667501
0.054502,0.611306,0.694537,0.705192,0.699216,0.051073,0.585406,0.673326,0.715651,0.668776
0.053774,0.608189,0.690152,0.699762,0.693473,0.050116,0.581075,0.668711,0.71712,0.661683
0.053549,0.612835,0.694651,0.7044,0.699147,0.052818,0.582916,0.674358,0.72237,0.667888
0.052708,0.614863,0.696986,0.708053,0.699905,0.053691,0.589512,0.682152,0.720398,0.675708
0.052674,0.615417,0.697325,0.707698,0.700505,0.050874,0.590522,0.67932,0.715346,0.676102
0.052404,0.620191,0.701703,0.711708,0.705574,0.051667,0.58969,0.679742,0.722508,0.672153
0.052192,0.618883,0.69951,0.708293,0.7028,0.051767,0.58958,0.679187,0.728605,0.669047
0.051855,0.615082,0.696305,0.707389,0.699313,0.051495,0.589971,0.679149,0.717132,0.67465
0.051942,0.620569,0.702706,0.71472,0.704959,0.052066,0.598586,0.690416,0.721456,0.682592
0.051315,0.619298,0.69956,0.709455,0.70276,0.052461,0.589544,0.679401,0.723865,0.671269
0.051758,0.571195,0.660964,0.683096,0.651466
