loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.283162,0.059982,0.106753,0.137682,0.151747,0.259649,0.092701,0.152825,0.216142,0.206002
0.196105,0.234101,0.31947,0.322965,0.381595,0.116066,0.360746,0.44165,0.451112,0.455458
0.127327,0.381581,0.471485,0.472167,0.516339,0.083152,0.486322,0.578028,0.595283,0.581139
0.094136,0.506116,0.592415,0.586342,0.614366,0.063708,0.530485,0.614789,0.604929,0.635391
0.081564,0.523352,0.60555,0.59902,0.623554,0.059497,0.541897,0.624385,0.620963,0.632167
0.075252,0.536691,0.617204,0.610821,0.632394,0.102139,0.39956,0.488344,0.602467,0.468607
0.072785,0.53374,0.612928,0.623455,0.628368,0.06764,0.501145,0.589768,0.643085,0.591358
0.068901,0.542614,0.621114,0.657656,0.633838,0.056826,0.550245,0.631566,0.670657,0.6334
0.067187,0.551115,0.631815,0.673421,0.639849,0.057309,0.541807,0.626044,0.673444,0.633758
0.064993,0.565955,0.649873,0.680485,0.653619,0.055502,0.549196,0.634195,0.685052,0.63462
0.064628,0.571277,0.657477,0.678082,0.661286,0.060787,0.534876,0.624769,0.691723,0.608203
0.062949,0.570254,0.654819,0.669483,0.659158,0.053131,0.566752,0.653778,0.688383,0.659088
0.062093,0.580763,0.66724,0.679862,0.672252,0.054166,0.567367,0.658988,0.687645,0.665509
0.060963,0.585724,0.671513,0.683359,0.677665,0.056656,0.559418,0.651183,0.704774,0.636121
0.060549,0.583712,0.669318,0.680924,0.677453,0.05702,0.548995,0.638604,0.685672,0.643771
0.059366,0.588435,0.673029,0.6849,0.67894,0.066767,0.527695,0.623251,0.68892,0.616817
0.059403,0.591325,0.676218,0.685228,0.68228,0.05119,0.571763,0.658487,0.699528,0.654144
0.058488,0.588718,0.672658,0.683188,0.679748,0.059013,0.561916,0.659561,0.691481,0.665945
0.058615,0.595026,0.679641,0.690998,0.686204,0.058447,0.550759,0.643124,0.710216,0.627641
0.057989,0.597668,0.682262,0.695553,0.687786,0.055551,0.566668,0.661236,0.70063,0.659829
0.057016,0.598873,0.68244,0.694388,0.685386,0.050485,0.585731,0.6775,0.701139,0.685814
0.056598,0.599981,0.683641,0.693371,0.689068,0.051678,0.583247,0.676193,0.700754,0.682495
0.056844,0.599695,0.683893,0.698309,0.68871,0.051873,0.593478,0.688213,0.704771,0.690481
0.055757,0.6033,0.686156,0.697945,0.688749,0.051258,0.581996,0.672263,0.715611,0.667992
0.055385,0.604487,0.68641,0.697982,0.691827,0.050565,0.587208,0.678391,0.707634,0.675124
0.055579,0.606466,0.68946,0.701596,0.694222,0.063264,0.543783,0.643454,0.705913,0.622424
0.055056,0.608279,0.691483,0.702591,0.69592,0.064786,0.546303,0.644819,0.676996,0.647908
0.054785,0.610934,0.694014,0.704216,0.698384,0.052267,0.584988,0.67724,0.715975,0.668513
0.054319,0.616493,0.700018,0.711397,0.704587,0.051822,0.585961,0.677286,0.709143,0.671987
0.054264,0.611184,0.69393,0.70468,0.698101,0.050644,0.588211,0.677992,0.706146,0.680716
0.053311,0.615379,0.697253,0.707292,0.702118,0.052218,0.587449,0.677809,0.713617,0.671036
0.052948,0.613781,0.695803,0.70525,0.698998,0.050057,0.593883,0.684406,0.712819,0.679809
0.052898,0.61708,0.698705,0.708995,0.701696,0.052201,0.586724,0.678186,0.705236,0.679601
0.052538,0.610945,0.692511,0.704663,0.695045,0.050953,0.591777,0.681185,0.708053,0.681527
0.051973,0.619278,0.700438,0.713887,0.701604,0.052803,0.582792,0.671635,0.704257,0.673756
0.051701,0.621318,0.703213,0.717263,0.705695,0.05175,0.590128,0.681206,0.709036,0.680998
0.051296,0.618111,0.698789,0.713009,0.701859,0.051521,0.596207,0.687602,0.714455,0.686018
0.051103,0.619953,0.701259,0.717934,0.703363,0.052288,0.588399,0.678841,0.716937,0.674763
0.050616,0.627837,0.709567,0.724194,0.711369,0.051785,0.596161,0.688558,0.707968,0.691848
0.050613,0.624501,0.705459,0.719208,0.708634,0.053942,0.58832,0.680394,0.712983,0.678256
0.04973,0.629207,0.709716,0.72532,0.711582,0.051439,0.597692,0.689475,0.716787,0.686306
0.050431,0.626325,0.707519,0.724434,0.712446,0.052213,0.59051,0.681103,0.717961,0.677559
0.050564,0.58076,0.670848,0.706393,0.661286
