loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.30591,0.063763,0.109518,0.227904,0.177039,0.273879,0.131673,0.186021,0.352378,0.228874
0.182665,0.379427,0.472724,0.514861,0.494224,0.121245,0.438528,0.524512,0.530875,0.546107
0.115656,0.48224,0.56849,0.565913,0.592998,0.077437,0.492762,0.574115,0.567569,0.601438
0.090567,0.506118,0.588594,0.584428,0.611337,0.063195,0.539127,0.62023,0.62508,0.623944
0.079391,0.528354,0.609214,0.60288,0.628464,0.060316,0.540218,0.623002,0.628909,0.625998
0.072637,0.539545,0.618494,0.614002,0.634573,0.06508,0.522069,0.607365,0.629743,0.608313
0.068906,0.537572,0.616075,0.644926,0.629409,0.055334,0.552777,0.634835,0.675183,0.637842
0.065228,0.557059,0.640467,0.668033,0.649365,0.054828,0.569309,0.65909,0.678902,0.663544
0.06383,0.574647,0.662901,0.675756,0.67375,0.107546,0.474199,0.578811,0.594026,0.62499
0.061862,0.584376,0.671268,0.683053,0.680509,0.053665,0.569913,0.657045,0.683908,0.659312
0.061936,0.584075,0.671032,0.681314,0.68017,0.063022,0.519973,0.608816,0.684797,0.590636
0.060231,0.579998,0.66517,0.674791,0.673843,0.053403,0.571776,0.661162,0.694876,0.667075
0.059141,0.593343,0.679429,0.687601,0.688556,0.057829,0.553215,0.644417,0.701831,0.635103
0.05819,0.594895,0.680541,0.688756,0.690564,0.054727,0.568661,0.662958,0.705114,0.659433
0.057789,0.593861,0.679124,0.689447,0.688963,0.058792,0.548787,0.644991,0.706633,0.631356
0.056708,0.601212,0.68576,0.697122,0.692844,0.052135,0.585244,0.677159,0.706828,0.677242
0.056443,0.599271,0.682907,0.691705,0.689549,0.048913,0.583784,0.670431,0.72602,0.662166
0.055939,0.60325,0.686784,0.6971,0.69274,0.06708,0.535444,0.637743,0.690712,0.636847
0.056029,0.599699,0.683339,0.693195,0.69001,0.051026,0.588924,0.680659,0.710842,0.6771
0.055538,0.606323,0.690035,0.702617,0.695768,0.051534,0.5913,0.684172,0.714514,0.681836
0.054966,0.604366,0.68706,0.698742,0.690025,0.051589,0.584893,0.677232,0.709834,0.675447
0.054568,0.605884,0.689191,0.70043,0.694432,0.050684,0.577908,0.668306,0.711772,0.667096
0.054541,0.608502,0.692213,0.706938,0.696731,0.050286,0.583593,0.674708,0.726037,0.671269
0.053807,0.609903,0.692183,0.707453,0.696171,0.056645,0.571952,0.669439,0.723039,0.654462
0.053603,0.608933,0.690852,0.705039,0.695922,0.052338,0.57489,0.665654,0.725883,0.656228
0.053395,0.614395,0.697407,0.716779,0.700646,0.048892,0.592407,0.682561,0.733364,0.67238
0.05285,0.613618,0.696307,0.712613,0.699189,0.053481,0.577351,0.672137,0.71596,0.662145
0.053238,0.612053,0.694812,0.711027,0.698012,0.053015,0.583891,0.676209,0.714778,0.668789
0.053232,0.618672,0.701803,0.719554,0.705962,0.052968,0.591196,0.687612,0.730103,0.678522
0.053174,0.612252,0.69603,0.714247,0.700035,0.048629,0.592567,0.682799,0.740913,0.669786
0.052004,0.615409,0.697589,0.715098,0.700266,0.049649,0.596955,0.690356,0.741968,0.680384
0.052158,0.617086,0.700119,0.718938,0.702651,0.049089,0.606293,0.701291,0.728641,0.698766
0.051918,0.619641,0.702717,0.724046,0.704339,0.050331,0.595859,0.69108,0.723571,0.690649
0.051416,0.620174,0.703513,0.72446,0.706093,0.049814,0.603244,0.697082,0.736642,0.690392
0.051365,0.624687,0.70813,0.728165,0.710667,0.04994,0.58764,0.678546,0.728939,0.675995
0.051208,0.621438,0.704322,0.727552,0.706493,0.04884,0.60034,0.693633,0.734936,0.685432
0.05122,0.623038,0.705424,0.725732,0.706015,0.052271,0.589541,0.684884,0.730795,0.673098
0.05122,0.622425,0.705472,0.727254,0.708085,0.048132,0.599616,0.691262,0.72979,0.686791
0.050968,0.629506,0.713583,0.733578,0.716501,0.049008,0.603697,0.696294,0.727162,0.692079
0.050654,0.62593,0.708731,0.72789,0.711339,0.049246,0.593372,0.683589,0.72976,0.67698
0.050299,0.628817,0.712029,0.73365,0.712488,0.054429,0.585208,0.682328,0.733934,0.668041
0.050626,0.629465,0.713039,0.73619,0.715447,0.050146,0.591017,0.682093,0.734955,0.672288
0.050365,0.623143,0.705771,0.728941,0.705523,0.049148,0.599841,0.69174,0.735167,0.68518
0.050261,0.63031,0.712993,0.733253,0.714478,0.048035,0.607493,0.700457,0.740593,0.690385
0.050447,0.623581,0.706435,0.726629,0.709973,0.05183,0.592195,0.686884,0.736781,0.673593
0.049825,0.636222,0.71912,0.740804,0.720736,0.04825,0.601893,0.693617,0.743308,0.685103
