loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.293912,0.048083,0.082585,0.195902,0.164645,0.273354,0.067176,0.1156,0.300935,0.191345
0.184848,0.349604,0.43774,0.500977,0.471019,0.125335,0.447237,0.53524,0.529082,0.56614
0.117555,0.483424,0.571304,0.564634,0.596455,0.079133,0.514482,0.601736,0.595458,0.628305
0.092295,0.509322,0.594352,0.586895,0.617248,0.0647,0.533769,0.617759,0.616196,0.629392
0.079186,0.529818,0.611205,0.603715,0.629196,0.060892,0.541149,0.623765,0.62894,0.625091
0.073555,0.536404,0.616395,0.618799,0.632272,0.061279,0.530816,0.615084,0.656709,0.621079
0.069861,0.538512,0.619411,0.6507,0.632578,0.056242,0.55576,0.642094,0.690448,0.639434
0.066177,0.558674,0.64465,0.667035,0.653259,0.054844,0.573316,0.667134,0.695293,0.663886
0.064902,0.569754,0.658501,0.673801,0.667243,0.058187,0.542513,0.636693,0.676801,0.651608
0.062687,0.581917,0.669226,0.681731,0.678384,0.056181,0.553291,0.644548,0.690252,0.648696
0.066424,0.569709,0.659544,0.669894,0.670806,0.056217,0.560145,0.657744,0.709822,0.641059
0.06205,0.573756,0.660269,0.669771,0.667832,0.051926,0.578254,0.670083,0.705719,0.669463
0.060157,0.589134,0.675642,0.685661,0.686174,0.053364,0.574256,0.667144,0.710886,0.657948
0.059123,0.592788,0.678583,0.688268,0.688111,0.053775,0.577059,0.668975,0.708265,0.665327
0.05864,0.590718,0.676788,0.687299,0.685985,0.053325,0.570188,0.662998,0.730577,0.642806
0.057745,0.597394,0.681763,0.693605,0.689086,0.053864,0.575918,0.669407,0.724498,0.65336
0.057249,0.597156,0.68137,0.693775,0.687736,0.051844,0.573144,0.663087,0.722565,0.651372
0.057155,0.600304,0.685133,0.693799,0.693835,0.056089,0.581163,0.679111,0.712796,0.668796
0.056744,0.603605,0.688241,0.69877,0.695834,0.053093,0.567412,0.655277,0.728519,0.645636
0.056876,0.604874,0.689626,0.703063,0.694309,0.053625,0.578556,0.671242,0.691963,0.683979
0.055672,0.601119,0.684214,0.694227,0.69003,0.052486,0.580292,0.675415,0.731388,0.666395
0.055508,0.605195,0.689501,0.705208,0.694247,0.052215,0.586006,0.684389,0.718981,0.68667
0.055663,0.606739,0.691559,0.705,0.697305,0.051175,0.584988,0.677141,0.721498,0.674591
0.054797,0.609811,0.693622,0.711741,0.696926,0.05045,0.584399,0.673926,0.730644,0.666169
0.054777,0.608982,0.691672,0.708308,0.696874,0.05485,0.577078,0.671276,0.726905,0.658507
0.054621,0.60919,0.692405,0.710071,0.696362,0.057227,0.574628,0.673067,0.734456,0.658825
0.05417,0.611016,0.694134,0.714869,0.697811,0.056782,0.569238,0.662121,0.726507,0.651977
0.054065,0.612857,0.696353,0.713852,0.700011,0.051967,0.582906,0.674185,0.725587,0.663886
0.053812,0.617189,0.700968,0.716805,0.705053,0.050431,0.604605,0.698493,0.716538,0.704489
0.053871,0.613483,0.696975,0.714456,0.700509,0.052557,0.575809,0.667411,0.724585,0.660422
0.05309,0.616119,0.698964,0.717914,0.702215,0.049225,0.605553,0.699105,0.73153,0.697243
0.052781,0.614099,0.697221,0.716537,0.699593,0.049555,0.60144,0.6949,0.732038,0.686327
0.052565,0.620035,0.703561,0.722272,0.705811,0.052773,0.587668,0.684507,0.730047,0.683459
0.052444,0.622259,0.705966,0.727527,0.707904,0.052568,0.598762,0.694913,0.735774,0.684975
0.052056,0.620639,0.703289,0.722247,0.705652,0.051646,0.589793,0.682273,0.728306,0.679103
0.052246,0.615808,0.698655,0.72268,0.70115,0.050803,0.603166,0.699719,0.738483,0.694053
0.051999,0.620185,0.702593,0.722649,0.704732,0.050062,0.601715,0.694037,0.737571,0.68726
0.05199,0.62304,0.706545,0.728686,0.709464,0.050893,0.590814,0.681801,0.737028,0.676199
0.051555,0.627419,0.710507,0.727911,0.711671,0.050316,0.611979,0.707202,0.718848,0.716226
0.051322,0.626322,0.709168,0.72961,0.711616,0.05071,0.588245,0.6788,0.726229,0.67595
0.051013,0.625114,0.707266,0.726634,0.706665,0.054005,0.595477,0.692529,0.729202,0.685377
0.051361,0.628075,0.711276,0.731055,0.713944,0.051523,0.595459,0.687963,0.742786,0.676179
0.05105,0.622444,0.705507,0.726807,0.706735,0.050609,0.606784,0.701964,0.742095,0.692818
0.050785,0.628626,0.711453,0.733009,0.713204,0.050851,0.60934,0.705092,0.736081,0.701355
0.050966,0.626337,0.708699,0.729443,0.711668,0.050888,0.59859,0.690557,0.7455,0.68058
0.047455,0.600862,0.691447,0.718357,0.684691
