loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
7390.585396,0.125306,0.200214,0.251413,0.212355,7305.331713,0.247256,0.327123,0.356267,0.33693
6223.372756,0.42008,0.512897,0.525714,0.536307,5560.854819,0.483794,0.574317,0.578179,0.602636
5435.293899,0.507387,0.592892,0.586278,0.616811,5214.197629,0.513068,0.599496,0.593876,0.626693
5202.08998,0.522139,0.60448,0.596879,0.627037,5123.647546,0.526322,0.610717,0.610038,0.62826
5106.636223,0.536118,0.615615,0.607767,0.63383,5096.591624,0.533133,0.617427,0.614689,0.633544
5063.904116,0.542857,0.621167,0.613424,0.637652,5064.200649,0.540359,0.622492,0.616289,0.644448
5047.302989,0.546238,0.624031,0.61656,0.640964,5130.055754,0.516164,0.602751,0.600331,0.631869
5025.678897,0.549037,0.625173,0.617848,0.640654,5051.505116,0.547239,0.628642,0.624018,0.642468
5010.052576,0.55352,0.629144,0.622109,0.64283,5107.958074,0.526125,0.61025,0.616762,0.629145
4999.303471,0.555592,0.629609,0.622773,0.641797,5033.631292,0.554057,0.633617,0.631257,0.646078
5009.490476,0.557614,0.633836,0.626116,0.648164,5044.147135,0.551818,0.632145,0.619556,0.655563
4991.498073,0.551887,0.624907,0.618102,0.637788,5036.752041,0.555362,0.635225,0.625229,0.652127
4986.128611,0.556283,0.629784,0.622731,0.64355,5131.711882,0.527667,0.612088,0.640148,0.603915
4978.96594,0.558926,0.631436,0.624976,0.642815,5071.046084,0.545924,0.627395,0.635162,0.627329
4972.103175,0.562137,0.635053,0.628359,0.647663,5018.277455,0.563741,0.641576,0.63825,0.648763
4963.031744,0.564407,0.636068,0.629845,0.647348,5021.322818,0.561666,0.639873,0.629662,0.656652
4958.657453,0.567155,0.638835,0.632694,0.649598,5257.078154,0.523959,0.61253,0.607272,0.635838
4963.596562,0.566185,0.637283,0.631163,0.647322,5335.833207,0.473005,0.564364,0.610483,0.562531
4954.306755,0.568462,0.639423,0.633186,0.649907,5030.165936,0.559354,0.63853,0.648314,0.634701
4957.501389,0.567577,0.638544,0.632232,0.649076,5109.419463,0.532454,0.617065,0.621695,0.635872
4949.949313,0.567918,0.637763,0.631883,0.647254,5013.355057,0.563916,0.641664,0.635389,0.654854
4945.40869,0.567747,0.638148,0.632259,0.648304,5018.52322,0.561976,0.640192,0.636612,0.650956
4946.080745,0.568992,0.639194,0.633104,0.64901,5010.831355,0.566598,0.643931,0.637375,0.655205
4942.746219,0.570367,0.639931,0.633984,0.650071,5036.886955,0.55424,0.634115,0.634197,0.645139
4940.718098,0.571599,0.641338,0.635467,0.650703,5083.74965,0.542946,0.625668,0.630401,0.63289
4939.59979,0.570725,0.640097,0.634358,0.64907,5005.216022,0.567389,0.644463,0.641798,0.651891
4936.207877,0.56985,0.639022,0.633577,0.647769,5066.547024,0.549886,0.630881,0.637633,0.631278
4932.917633,0.57176,0.64042,0.634791,0.649487,5094.13359,0.543674,0.625981,0.639888,0.62298
4934.265266,0.573858,0.642992,0.637429,0.651922,5024.65668,0.566532,0.643969,0.637583,0.654024
4932.482485,0.575787,0.644934,0.639287,0.653663,5039.526848,0.557147,0.635977,0.638114,0.642338
4929.36425,0.572833,0.64162,0.635777,0.650836,5026.134277,0.56202,0.640228,0.639128,0.647581
4925.758091,0.579137,0.647906,0.642346,0.656466,5013.944012,0.565639,0.642946,0.642569,0.64823
4926.812819,0.578897,0.648518,0.642833,0.657397,5026.331267,0.561519,0.639512,0.634539,0.652349
4923.401395,0.577891,0.646658,0.641039,0.654952,5083.748487,0.542514,0.623898,0.63601,0.631303
4920.705811,0.578122,0.646009,0.640732,0.654075,5048.488531,0.552365,0.632076,0.631332,0.64506
4922.332536,0.575947,0.644262,0.638381,0.653378,5008.054175,0.566132,0.643193,0.639177,0.653882
4918.915389,0.581502,0.649802,0.644733,0.657759,5025.004639,0.562431,0.640707,0.639628,0.648272
4918.156045,0.573788,0.641192,0.635891,0.649241,5012.753906,0.565578,0.643019,0.639224,0.653274
4914.971002,0.580413,0.648284,0.642953,0.656738,5028.362347,0.558369,0.637152,0.631748,0.652946
4915.799425,0.578547,0.646349,0.640797,0.654494,5011.990996,0.564472,0.641949,0.635409,0.655287
4914.308586,0.577912,0.645008,0.639865,0.652496,5083.969474,0.545375,0.627192,0.63794,0.626593
4912.877762,0.581932,0.649301,0.643968,0.657216,5011.682869,0.565675,0.642745,0.638272,0.653715
4911.212721,0.576639,0.644212,0.638478,0.653123,5012.125348,0.568339,0.64505,0.642389,0.651092
4908.722901,0.583098,0.650395,0.645267,0.657978,5010.860739,0.566783,0.643778,0.640724,0.65168
4911.483966,0.579026,0.646923,0.641093,0.655795,5012.34306,0.567522,0.644328,0.642901,0.650135
4899.565548,0.559166,0.638418,0.644206,0.638215
