loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.385739,0.076635,0.132896,0.216164,0.167105,0.380104,0.15769,0.231544,0.316405,0.250421
0.303562,0.402699,0.494643,0.514729,0.51547,0.272452,0.465546,0.550975,0.550148,0.566851
0.252623,0.496356,0.580711,0.574161,0.600521,0.247662,0.497491,0.57994,0.577729,0.59903
0.239988,0.514697,0.595889,0.59134,0.615127,0.241634,0.514652,0.601788,0.665169,0.598252
0.228027,0.540952,0.630475,0.637737,0.656134,0.229644,0.525532,0.621231,0.634737,0.654023
0.218572,0.557284,0.651901,0.650647,0.695443,0.229724,0.511806,0.605748,0.62349,0.644369
0.215351,0.562004,0.657443,0.655899,0.699654,0.228358,0.519479,0.608159,0.625427,0.635024
0.21208,0.571582,0.665615,0.666978,0.705776,0.221805,0.552108,0.646721,0.666369,0.663835
0.21122,0.572437,0.667012,0.669255,0.70448,0.246733,0.459587,0.561162,0.668429,0.550382
0.2084,0.582872,0.67627,0.67732,0.71614,0.238682,0.491437,0.587838,0.675314,0.578277
0.209377,0.583347,0.676384,0.675373,0.707233,0.22048,0.566573,0.660703,0.659672,0.687462
0.208527,0.582104,0.674851,0.672986,0.715021,0.218192,0.54909,0.645286,0.649602,0.68339
0.207648,0.584688,0.676767,0.677418,0.712241,0.228107,0.534108,0.625382,0.669046,0.626244
0.207188,0.587374,0.679724,0.680067,0.717391,0.225518,0.529484,0.621003,0.659415,0.640134
0.206815,0.588079,0.681339,0.681078,0.716463,0.215911,0.568998,0.665597,0.677009,0.685621
0.207874,0.587333,0.679331,0.679534,0.718438,0.223184,0.540527,0.63821,0.667793,0.650752
0.205021,0.596657,0.688649,0.687657,0.722321,0.224196,0.541527,0.631063,0.657236,0.65071
0.204921,0.595926,0.688991,0.690256,0.727518,0.220536,0.563176,0.654377,0.677177,0.665463
0.205588,0.59263,0.684528,0.684089,0.716935,0.225549,0.538928,0.633108,0.691902,0.631497
0.205694,0.596068,0.688631,0.688996,0.718126,0.216837,0.564981,0.662721,0.650501,0.712664
0.204543,0.599666,0.691401,0.689991,0.728371,0.217448,0.567431,0.659465,0.685083,0.67486
0.204377,0.597935,0.69011,0.691399,0.724007,0.229236,0.510638,0.610737,0.603469,0.695682
0.203449,0.601487,0.693395,0.690723,0.730276,0.227843,0.53807,0.623744,0.662305,0.639057
0.204208,0.59923,0.690596,0.688914,0.732239,0.225057,0.52779,0.619748,0.647568,0.661763
0.203691,0.601587,0.692685,0.691407,0.72869,0.212818,0.575214,0.670879,0.673841,0.696353
0.202088,0.608962,0.701313,0.699629,0.73037,0.223037,0.547465,0.637798,0.691433,0.654247
0.203307,0.601107,0.692747,0.69073,0.727326,0.214086,0.573499,0.671216,0.673581,0.702416
0.201021,0.611005,0.703438,0.702104,0.733014,0.212992,0.578458,0.675794,0.688949,0.692888
0.201985,0.609662,0.701896,0.699837,0.738431,0.217578,0.572434,0.667618,0.688989,0.674486
0.202623,0.60599,0.696491,0.694535,0.727143,0.214267,0.564126,0.658655,0.669212,0.683431
0.201168,0.610389,0.702051,0.700521,0.737027,0.219937,0.558426,0.649679,0.686945,0.665238
0.202364,0.607286,0.697808,0.695704,0.72867,0.211352,0.589327,0.687065,0.688215,0.712371
0.200945,0.615194,0.706609,0.705969,0.732042,0.220209,0.559684,0.653452,0.68324,0.676556
0.200344,0.615266,0.70724,0.707805,0.735035,0.213744,0.58857,0.683651,0.694832,0.696311
0.20002,0.616615,0.707362,0.704639,0.733203,0.222258,0.562628,0.655267,0.704255,0.659094
0.199825,0.618485,0.709707,0.708379,0.737251,0.216365,0.586151,0.680244,0.719546,0.682602
0.200936,0.615834,0.70715,0.706278,0.733401,0.216743,0.577706,0.66882,0.6998,0.682186
0.19944,0.616839,0.708346,0.704946,0.743791,0.211961,0.586445,0.682007,0.692486,0.702672
0.199677,0.618138,0.709575,0.709237,0.738053,0.216583,0.561757,0.65834,0.681361,0.674854
0.199832,0.617941,0.709203,0.706833,0.736552,0.218393,0.571919,0.662419,0.702704,0.672773
0.198427,0.624267,0.714686,0.714568,0.738591,0.228529,0.528692,0.62102,0.613704,0.695083
0.199727,0.619632,0.710421,0.709051,0.738828,0.219141,0.564597,0.65494,0.689039,0.670418
0.19962,0.619293,0.710863,0.708367,0.735965,0.215177,0.578769,0.673437,0.699916,0.687385
0.199702,0.621331,0.711241,0.709712,0.737479,0.211286,0.59578,0.691636,0.710971,0.700455
0.199275,0.621789,0.7124,0.712196,0.739611,0.214417,0.577192,0.671394,0.702128,0.68402
0.198738,0.623037,0.714697,0.714175,0.739384,0.211702,0.585634,0.68068,0.695933,0.700383
0.198107,0.62552,0.716733,0.715069,0.742478,0.211677,0.585964,0.680259,0.692426,0.697235
0.198066,0.627287,0.718171,0.715355,0.744001,0.212284,0.583487,0.676832,0.69968,0.690118
0.197616,0.630388,0.722111,0.720965,0.748765,0.211578,0.588892,0.6836,0.694031,0.701656
0.198083,0.629684,0.720426,0.71911,0.742899,0.212982,0.584919,0.677995,0.697592,0.692011
0.196363,0.631768,0.722557,0.719523,0.749903,0.211902,0.59361,0.688219,0.703974,0.701189
0.19757,0.630422,0.721565,0.718735,0.744968,0.213906,0.588877,0.681591,0.716466,0.685406
0.195433,0.633953,0.72584,0.724074,0.74866,0.212925,0.591034,0.684931,0.711766,0.693461
0.195333,0.636058,0.727357,0.725997,0.752288,0.213177,0.589405,0.683384,0.712402,0.69007
0.215401,0.580676,0.675593,0.688226,0.682161
