loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.383994,0.089555,0.150958,0.230383,0.182742,0.377804,0.16025,0.22944,0.310455,0.256377
0.299996,0.405807,0.497885,0.512176,0.519759,0.266324,0.461949,0.546709,0.546564,0.565382
0.252644,0.496177,0.581775,0.576288,0.602786,0.244683,0.522942,0.60842,0.59967,0.626629
0.241262,0.514263,0.59763,0.593179,0.618763,0.238415,0.507418,0.589361,0.585896,0.618147
0.233577,0.524084,0.60747,0.60555,0.640163,0.234009,0.513526,0.601396,0.651614,0.609285
0.221812,0.54847,0.642486,0.641491,0.681997,0.241875,0.483958,0.578438,0.650665,0.587351
0.216408,0.55762,0.653887,0.651316,0.701887,0.232461,0.508953,0.606619,0.607202,0.673066
0.214434,0.564105,0.659122,0.659153,0.703896,0.217616,0.564484,0.660504,0.664349,0.689554
0.210997,0.575839,0.670992,0.668488,0.706727,0.224479,0.538482,0.63435,0.667587,0.663034
0.211908,0.585877,0.676875,0.676678,0.704321,0.231733,0.550103,0.63828,0.70346,0.627964
0.210511,0.580305,0.673296,0.6735,0.705082,0.226876,0.529553,0.617209,0.662005,0.634164
0.209028,0.582364,0.674949,0.674051,0.71297,0.223757,0.551492,0.647533,0.680781,0.670008
0.208645,0.583931,0.676733,0.675687,0.715211,0.218435,0.556558,0.650268,0.684988,0.662407
0.206576,0.590338,0.683692,0.683017,0.72068,0.230835,0.525297,0.625792,0.69243,0.621125
0.208485,0.581961,0.67608,0.676436,0.716219,0.222493,0.5472,0.63734,0.665735,0.666129
0.20705,0.590286,0.682925,0.682474,0.716707,0.222383,0.545456,0.64618,0.664335,0.675308
0.206958,0.591796,0.68394,0.682746,0.721139,0.224907,0.547556,0.636739,0.686615,0.645058
0.206703,0.591012,0.683136,0.681459,0.725863,0.21959,0.56199,0.655293,0.683557,0.676718
0.205898,0.594209,0.685926,0.683467,0.72003,0.213854,0.587487,0.683531,0.690687,0.701771
0.20514,0.596595,0.689696,0.689376,0.722938,0.22398,0.543061,0.636644,0.629624,0.674305
0.205498,0.593965,0.68746,0.684992,0.723736,0.212383,0.577151,0.672383,0.678509,0.697954
0.205274,0.597397,0.690252,0.687913,0.725782,0.218068,0.553932,0.645729,0.642711,0.69906
0.204109,0.600904,0.693806,0.693138,0.72678,0.217517,0.569135,0.668207,0.686111,0.679357
0.203811,0.60198,0.693575,0.691523,0.729836,0.221801,0.561506,0.650713,0.702143,0.657622
0.204255,0.600877,0.692601,0.690181,0.726129,0.219239,0.556071,0.647652,0.667693,0.665735
0.20328,0.603708,0.696549,0.695671,0.727248,0.226944,0.52224,0.615502,0.657687,0.649501
0.203436,0.605443,0.697729,0.694241,0.734756,0.215351,0.578931,0.674241,0.680794,0.696576
0.203111,0.60354,0.695682,0.692884,0.729272,0.215053,0.571072,0.668417,0.696726,0.67681
0.202231,0.609881,0.701491,0.699828,0.732042,0.223456,0.553834,0.641202,0.681094,0.653692
0.203557,0.606611,0.69816,0.699188,0.725938,0.212215,0.584451,0.680805,0.673365,0.721498
0.202447,0.608948,0.70093,0.698783,0.732373,0.215457,0.584275,0.676828,0.711508,0.688911
0.202914,0.607075,0.698543,0.696198,0.730993,0.217576,0.5639,0.661474,0.682838,0.684331
0.201022,0.61203,0.703233,0.701139,0.733517,0.218083,0.570117,0.668595,0.663345,0.714493
0.201967,0.61166,0.704665,0.700359,0.738784,0.215974,0.586567,0.682235,0.691105,0.699833
0.20073,0.615615,0.706991,0.703538,0.736704,0.21596,0.583181,0.677084,0.699213,0.68948
0.200313,0.614789,0.705689,0.703032,0.733887,0.213938,0.585533,0.67823,0.711019,0.683444
0.201366,0.615829,0.706507,0.704961,0.731778,0.217726,0.57376,0.663468,0.704425,0.672437
0.200429,0.616454,0.708992,0.707461,0.738871,0.21634,0.580579,0.671628,0.706509,0.681771
0.199961,0.618221,0.709542,0.710583,0.733892,0.210609,0.584275,0.678847,0.68558,0.70608
0.200635,0.617628,0.70832,0.705844,0.735066,0.21543,0.586152,0.678744,0.718482,0.683597
0.199653,0.622495,0.712855,0.711473,0.740892,0.211393,0.593853,0.68825,0.708754,0.697704
0.199852,0.621718,0.712767,0.712028,0.739903,0.217493,0.576973,0.666936,0.708285,0.672186
0.202087,0.611945,0.703782,0.700247,0.736482,0.213362,0.585074,0.678811,0.708328,0.686232
0.199759,0.622146,0.71288,0.711093,0.737788,0.211752,0.6024,0.69767,0.72317,0.698956
0.200202,0.61914,0.710372,0.709143,0.73817,0.214328,0.576979,0.671367,0.713102,0.677803
0.199272,0.624703,0.716075,0.714242,0.741609,0.212258,0.59396,0.688705,0.720251,0.689906
0.199395,0.621367,0.711983,0.711767,0.732829,0.21277,0.59098,0.68595,0.709054,0.696781
0.197967,0.627772,0.719188,0.716619,0.745418,0.215006,0.576554,0.672105,0.676022,0.698716
0.199187,0.624048,0.71594,0.711739,0.743728,0.211604,0.590611,0.685618,0.692739,0.708419
0.217794,0.561386,0.654522,0.660755,0.674663
