loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.260067,0.130088,0.205316,0.232098,0.240353,0.214141,0.215613,0.291017,0.309091,0.314769
0.139805,0.419499,0.513747,0.520157,0.539122,0.077588,0.507917,0.596405,0.597285,0.608167
0.091418,0.506989,0.593743,0.588521,0.61617,0.064695,0.527751,0.612739,0.605869,0.629881
0.080519,0.520104,0.603711,0.610649,0.624442,0.061103,0.533631,0.618631,0.670416,0.618478
0.073365,0.534446,0.618877,0.64989,0.630646,0.05862,0.550424,0.643575,0.677007,0.639725
0.068975,0.556525,0.644696,0.664058,0.65376,0.066431,0.520886,0.619492,0.691864,0.602555
0.066278,0.565248,0.653364,0.667553,0.662808,0.054086,0.562183,0.654007,0.690444,0.646124
0.064036,0.57671,0.66479,0.678039,0.674593,0.05482,0.568561,0.661532,0.687831,0.672706
0.062388,0.588159,0.676227,0.687921,0.685016,0.055729,0.551056,0.641672,0.70437,0.635463
0.060166,0.596112,0.682014,0.694535,0.687361,0.054883,0.557445,0.648931,0.687882,0.648636
0.062427,0.585172,0.673302,0.684613,0.683041,0.055083,0.570889,0.669227,0.716017,0.651052
0.059834,0.590898,0.676551,0.688641,0.683725,0.053866,0.586673,0.681121,0.706314,0.676396
0.058032,0.601663,0.687436,0.699671,0.695113,0.05354,0.567802,0.656999,0.666963,0.662753
0.057416,0.603018,0.687423,0.697701,0.694169,0.071704,0.511658,0.606288,0.688027,0.600688
0.057044,0.604357,0.689896,0.704976,0.694873,0.074653,0.519659,0.622623,0.704623,0.60292
0.056866,0.606493,0.691218,0.70661,0.697317,0.053334,0.593346,0.690698,0.697689,0.706323
0.055784,0.607984,0.69221,0.711338,0.695667,0.051307,0.590215,0.684278,0.735504,0.676921
0.055302,0.61062,0.693511,0.707865,0.698339,0.056844,0.580854,0.678746,0.709896,0.674947
0.055604,0.608829,0.692078,0.707211,0.696243,0.05421,0.574164,0.663498,0.697824,0.669049
0.054802,0.615094,0.698771,0.717667,0.702378,0.053416,0.585535,0.678894,0.705473,0.688702
0.054127,0.615596,0.698645,0.717836,0.700503,0.052217,0.595762,0.690391,0.71745,0.688148
0.053886,0.612444,0.695732,0.715749,0.699201,0.053558,0.592274,0.688629,0.732768,0.676026
0.054084,0.61772,0.701648,0.722988,0.705022,0.061366,0.570583,0.674223,0.719739,0.665582
0.053128,0.621384,0.704555,0.72461,0.707413,0.053518,0.596105,0.694619,0.736358,0.684561
0.053282,0.615837,0.697746,0.716555,0.701348,0.050803,0.601713,0.697336,0.727356,0.696378
0.052942,0.620327,0.703236,0.725208,0.703655,0.055269,0.583226,0.682871,0.728717,0.6703
0.053221,0.619988,0.703538,0.721366,0.706294,0.05583,0.587751,0.684328,0.685629,0.705829
0.052639,0.621166,0.70348,0.725045,0.706149,0.052938,0.586674,0.677841,0.716604,0.677532
0.052461,0.624194,0.706984,0.729829,0.70824,0.051847,0.588542,0.681601,0.744973,0.662466
0.052453,0.61994,0.702843,0.72674,0.703359,0.051921,0.582491,0.672481,0.731609,0.662304
0.051692,0.630024,0.712682,0.730426,0.714455,0.049413,0.610356,0.705137,0.737146,0.700794
0.051713,0.625242,0.70773,0.726729,0.710353,0.049166,0.605704,0.700195,0.740284,0.68511
0.051801,0.629597,0.713811,0.736352,0.715078,0.049685,0.606289,0.70123,0.736275,0.698732
0.051325,0.627014,0.710159,0.733272,0.710767,0.053023,0.602849,0.698046,0.73031,0.691238
0.050827,0.632351,0.71453,0.73484,0.718334,0.05194,0.596022,0.689485,0.737535,0.679379
0.051049,0.629849,0.71286,0.734842,0.71498,0.063294,0.560504,0.657944,0.686013,0.666861
0.051145,0.627636,0.709482,0.731357,0.710048,0.052671,0.595949,0.69124,0.736159,0.686441
0.050791,0.630691,0.713061,0.731197,0.71375,0.051946,0.588999,0.681147,0.746641,0.667347
0.051022,0.634045,0.717039,0.735927,0.717343,0.051969,0.592867,0.68667,0.730514,0.679986
0.05056,0.639959,0.723105,0.743271,0.723442,0.050797,0.599128,0.692059,0.730633,0.688521
0.050236,0.633456,0.715606,0.738948,0.715103,0.053828,0.600677,0.698213,0.729074,0.69231
0.050505,0.634677,0.717083,0.740661,0.717892,0.050331,0.609194,0.703712,0.740266,0.695587
0.050046,0.636595,0.719445,0.740743,0.718802,0.051669,0.604282,0.699064,0.740535,0.684655
0.050127,0.638557,0.721066,0.745836,0.721516,0.060287,0.579953,0.678927,0.697272,0.68991
0.051015,0.627827,0.710796,0.732872,0.712865,0.052975,0.589582,0.685584,0.723928,0.684924
0.049967,0.643788,0.72659,0.747257,0.727992,0.055262,0.579972,0.673682,0.73881,0.659136
0.049689,0.642969,0.725832,0.751113,0.725887,0.05333,0.591858,0.688183,0.702777,0.700036
0.049343,0.635555,0.717846,0.739276,0.71799,0.053875,0.58172,0.675419,0.736783,0.666513
0.049551,0.645673,0.728988,0.748907,0.727298,0.052861,0.585681,0.679879,0.719582,0.681856
0.049106,0.639619,0.721925,0.745064,0.721929,0.05089,0.592791,0.684476,0.733819,0.676112
0.048946,0.641304,0.723331,0.747708,0.722298,0.053166,0.586011,0.677575,0.731856,0.671576
0.049109,0.64158,0.72404,0.745566,0.722566,0.052133,0.585747,0.678275,0.725254,0.672757
0.048581,0.645856,0.727936,0.750354,0.725719,0.051538,0.591292,0.681289,0.736685,0.676051
0.048501,0.644308,0.725472,0.746698,0.724883,0.050473,0.596867,0.687702,0.719945,0.68906
0.048832,0.640881,0.722544,0.742823,0.720846,0.050491,0.595095,0.687316,0.727663,0.684856
0.048676,0.644082,0.726419,0.74739,0.726651,0.055646,0.571492,0.661405,0.725528,0.654969
0.048571,0.645814,0.728086,0.748738,0.726549,0.051776,0.585881,0.675156,0.734704,0.66603
0.048315,0.647776,0.730357,0.75073,0.729597,0.050777,0.600836,0.693138,0.732841,0.687299
