loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.322966,0.052494,0.079632,0.259398,0.155535,0.251441,0.135631,0.157298,0.354416,0.192547
0.171081,0.383731,0.472214,0.522148,0.491451,0.101329,0.462667,0.548156,0.541743,0.570448
0.105667,0.489181,0.574086,0.568327,0.596746,0.07322,0.5193,0.604618,0.600941,0.619801
0.086373,0.512419,0.595167,0.588152,0.615878,0.061967,0.540737,0.623545,0.624061,0.627418
0.076579,0.534299,0.617529,0.63488,0.632133,0.060345,0.544019,0.633074,0.669831,0.635422
0.070819,0.552015,0.639535,0.659759,0.651727,0.069271,0.515747,0.612658,0.685874,0.596142
0.067743,0.561604,0.649873,0.662975,0.660441,0.058273,0.543841,0.633714,0.691878,0.627546
0.064999,0.574493,0.66274,0.674793,0.674032,0.061665,0.55963,0.655861,0.68919,0.655792
0.063528,0.584022,0.672534,0.685857,0.681109,0.056055,0.568514,0.661889,0.68921,0.66747
0.061459,0.589905,0.67658,0.690717,0.683055,0.053013,0.570913,0.661144,0.703209,0.663159
0.061143,0.592184,0.678539,0.690491,0.684496,0.064651,0.526761,0.620623,0.701972,0.602664
0.06003,0.588153,0.673275,0.685996,0.680121,0.055899,0.579131,0.672557,0.717257,0.669998
0.059788,0.594775,0.681001,0.696006,0.688256,0.074149,0.495552,0.590446,0.677232,0.580232
0.058779,0.596627,0.681834,0.691776,0.689158,0.058911,0.557361,0.652514,0.715484,0.646958
0.057384,0.602018,0.68717,0.701992,0.693175,0.063265,0.548208,0.648543,0.718329,0.630755
0.056992,0.609588,0.69496,0.713075,0.699688,0.050826,0.599868,0.694041,0.734341,0.684883
0.056084,0.608401,0.692683,0.710744,0.696519,0.054973,0.577817,0.670405,0.723593,0.671761
0.055318,0.611115,0.694378,0.709928,0.699186,0.054387,0.592879,0.687393,0.719826,0.683704
0.055997,0.61177,0.696614,0.714376,0.700061,0.054553,0.583858,0.676372,0.690723,0.683042
0.055521,0.61233,0.695724,0.714483,0.699504,0.051501,0.588455,0.677342,0.736836,0.667263
0.054886,0.614288,0.698203,0.714027,0.70098,0.051763,0.59892,0.694626,0.737878,0.683042
0.054412,0.613518,0.697265,0.714148,0.700443,0.051914,0.602644,0.700082,0.711224,0.71049
0.054411,0.623487,0.708136,0.730171,0.712109,0.052266,0.587794,0.682847,0.734146,0.675782
0.054308,0.612478,0.695204,0.715298,0.697509,0.051991,0.607151,0.704508,0.729906,0.699756
0.053415,0.622013,0.704507,0.722715,0.708159,0.053088,0.585928,0.680915,0.721462,0.684452
0.053276,0.621652,0.704603,0.727793,0.705389,0.053974,0.576658,0.667953,0.728106,0.664387
0.053393,0.621774,0.705683,0.727849,0.706676,0.051948,0.593883,0.688404,0.727724,0.684521
0.052326,0.624802,0.707024,0.729546,0.709352,0.052805,0.590137,0.683855,0.734759,0.671944
0.053008,0.627611,0.710702,0.731701,0.71399,0.054046,0.607563,0.704344,0.729789,0.698194
0.053109,0.622485,0.705485,0.727772,0.706686,0.049466,0.591533,0.681944,0.743123,0.66807
0.052233,0.628433,0.711922,0.73057,0.712711,0.052315,0.589548,0.681608,0.721596,0.680657
0.051936,0.629123,0.711871,0.732077,0.713055,0.049568,0.596991,0.691093,0.725069,0.683739
0.052041,0.629956,0.713077,0.73485,0.716198,0.054486,0.584791,0.680574,0.719458,0.67725
0.052004,0.627062,0.709474,0.729529,0.710543,0.054602,0.597566,0.693457,0.718407,0.691227
0.05132,0.632598,0.715543,0.738427,0.717037,0.053479,0.589935,0.684164,0.731818,0.669962
0.051446,0.629285,0.712119,0.734441,0.711955,0.052121,0.612218,0.708973,0.733676,0.706803
0.051591,0.628836,0.711185,0.729057,0.712582,0.05253,0.60352,0.698357,0.748539,0.684345
0.051155,0.63214,0.714842,0.737948,0.716795,0.052185,0.581397,0.670769,0.738353,0.661949
0.050851,0.636491,0.718498,0.741551,0.719173,0.051988,0.603377,0.695365,0.72715,0.689644
0.050755,0.63672,0.718352,0.739377,0.71991,0.053792,0.594003,0.68915,0.736471,0.679858
0.050398,0.635169,0.716906,0.737782,0.717421,0.058979,0.575247,0.673495,0.729721,0.664412
0.050604,0.635442,0.717997,0.737216,0.72014,0.054393,0.595322,0.690297,0.738645,0.676024
0.050571,0.6326,0.71437,0.734223,0.714329,0.053701,0.592464,0.684344,0.72203,0.680917
0.050324,0.638244,0.71958,0.74327,0.720022,0.051768,0.606679,0.701278,0.74114,0.693856
0.050476,0.634106,0.716694,0.735235,0.7191,0.051669,0.601962,0.697304,0.719072,0.704614
0.05035,0.64018,0.722293,0.742145,0.724102,0.052331,0.591962,0.684967,0.7383,0.678841
0.049874,0.639997,0.722225,0.746683,0.721327,0.053129,0.600639,0.697141,0.728489,0.699708
0.049532,0.639446,0.721146,0.739237,0.720325,0.056477,0.572113,0.666689,0.722027,0.661659
0.050015,0.641974,0.725422,0.745722,0.725201,0.051938,0.606756,0.701625,0.740225,0.693218
0.049461,0.641371,0.723479,0.746671,0.72452,0.051375,0.591109,0.680563,0.734391,0.67454
0.049202,0.63881,0.719128,0.742288,0.719124,0.053821,0.583585,0.675367,0.727829,0.668881
0.049162,0.64342,0.725727,0.747218,0.72349,0.051243,0.593852,0.684615,0.739854,0.673963
0.049104,0.643679,0.725042,0.747467,0.723951,0.05043,0.608364,0.700347,0.740716,0.693227
0.04864,0.645831,0.726969,0.750311,0.724935,0.051655,0.597638,0.688412,0.738966,0.681369
0.048792,0.644768,0.726512,0.748685,0.724347,0.052381,0.595979,0.688758,0.744178,0.678565
0.048697,0.644926,0.726532,0.746736,0.726139,0.052904,0.598663,0.693079,0.732977,0.688843
0.048686,0.645626,0.727591,0.750899,0.726464,0.052401,0.588834,0.678855,0.731923,0.667215
0.048651,0.650799,0.732541,0.75467,0.732894,0.051981,0.607375,0.700639,0.745696,0.686672
0.0485,0.653075,0.733776,0.753929,0.732048,0.055166,0.604826,0.701457,0.731069,0.697497
0.048316,0.650349,0.731437,0.755153,0.729658,0.051436,0.602879,0.695366,0.731633,0.693911
0.048436,0.651252,0.732916,0.753985,0.730874,0.052399,0.609611,0.704383,0.729146,0.708468
0.048391,0.650657,0.732237,0.754095,0.731343,0.05206,0.590053,0.682283,0.724828,0.682199
0.047983,0.655538,0.737392,0.760039,0.737023,0.057365,0.591977,0.688501,0.726798,0.686171
0.048034,0.650113,0.731202,0.753755,0.729829,0.053719,0.594939,0.687082,0.735283,0.678824
0.048022,0.649577,0.730774,0.751951,0.729018,0.053257,0.59823,0.690049,0.734003,0.679588
0.047912,0.650158,0.731525,0.751595,0.729239,0.051868,0.592327,0.680722,0.745052,0.668085
0.047836,0.654731,0.736408,0.760119,0.734466,0.052602,0.606424,0.700471,0.733821,0.69337
0.047573,0.650729,0.731853,0.751381,0.730557,0.05141,0.609235,0.703918,0.731775,0.703755
0.047754,0.656968,0.738825,0.758613,0.737131,0.053209,0.588525,0.68029,0.741294,0.667649
0.047491,0.659322,0.741407,0.760041,0.741304,0.05127,0.612476,0.705178,0.738201,0.700931
0.047405,0.652922,0.73346,0.754651,0.731536,0.050729,0.607758,0.701203,0.739413,0.69205
0.047131,0.654761,0.735496,0.754116,0.733151,0.053019,0.59273,0.683595,0.727998,0.678798
0.047224,0.648677,0.729129,0.748663,0.728078,0.053723,0.585056,0.672896,0.737928,0.662996
0.047112,0.651729,0.731881,0.757718,0.728069,0.052162,0.593207,0.683272,0.734118,0.678024
0.046817,0.653878,0.733374,0.756389,0.730433,0.052607,0.603829,0.696912,0.741734,0.690478
0.04706,0.654975,0.736009,0.758181,0.736856,0.052581,0.604335,0.696548,0.737246,0.689235
0.047214,0.652017,0.733068,0.75216,0.73181,0.052848,0.597932,0.69037,0.739128,0.680619
0.047139,0.65628,0.736476,0.759566,0.733868,0.052762,0.592725,0.684084,0.739965,0.679194
0.046636,0.663187,0.743887,0.76128,0.740874,0.052764,0.609744,0.703213,0.737863,0.698348
0.046773,0.660234,0.741481,0.763238,0.738987,0.053767,0.596212,0.688692,0.726234,0.68838
0.044973,0.623478,0.711834,0.733563,0.705208
