loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.271039,0.077549,0.134284,0.175413,0.15863,0.237487,0.131917,0.203188,0.24229,0.232849
0.160234,0.365313,0.456566,0.471587,0.489338,0.093066,0.480637,0.573015,0.569896,0.596776
0.099858,0.495897,0.583978,0.579715,0.607009,0.067142,0.521108,0.606852,0.602574,0.627714
0.082439,0.516716,0.600472,0.593146,0.621584,0.065576,0.517633,0.604622,0.623995,0.598698
0.073596,0.535877,0.616958,0.609235,0.634349,0.056139,0.546215,0.627747,0.628163,0.6335
0.067805,0.540875,0.619747,0.61399,0.635213,0.059491,0.53101,0.615822,0.638219,0.608941
0.066141,0.540457,0.621816,0.653004,0.634773,0.052286,0.558139,0.64315,0.68108,0.650018
0.061843,0.566176,0.652319,0.672418,0.660785,0.052728,0.572393,0.665089,0.68067,0.674893
0.060125,0.57864,0.666286,0.68135,0.674654,0.054631,0.56281,0.656661,0.664863,0.678136
0.058067,0.586674,0.672887,0.685917,0.681192,0.056355,0.547666,0.637793,0.696878,0.634987
0.057333,0.594566,0.681191,0.691424,0.687823,0.055613,0.540822,0.629729,0.708136,0.615553
0.056389,0.583822,0.668127,0.678643,0.675492,0.049174,0.577836,0.664679,0.711318,0.663535
0.055604,0.592951,0.678733,0.69296,0.685458,0.055848,0.550108,0.643368,0.70426,0.634528
0.054635,0.598238,0.683308,0.691489,0.691488,0.055916,0.558324,0.652676,0.701386,0.651176
0.053985,0.596392,0.681072,0.691099,0.688193,0.065048,0.527828,0.624281,0.69507,0.614893
0.053105,0.603108,0.687434,0.698003,0.693167,0.054374,0.569025,0.662595,0.714721,0.65692
0.052909,0.600202,0.6839,0.700823,0.689439,0.049496,0.575188,0.664825,0.725932,0.648532
0.052027,0.601922,0.684362,0.697604,0.691617,0.064022,0.549884,0.65108,0.695171,0.644345
0.052808,0.605181,0.689518,0.701429,0.696309,0.049103,0.588555,0.680029,0.703033,0.683512
0.051968,0.60808,0.691679,0.706333,0.69665,0.050776,0.591174,0.687251,0.697503,0.704955
0.051266,0.608162,0.690671,0.704884,0.693827,0.04927,0.596416,0.690944,0.731895,0.684351
0.050901,0.609642,0.692992,0.707377,0.69626,0.051863,0.581107,0.67631,0.732227,0.664174
0.050885,0.610845,0.693802,0.70766,0.69927,0.051599,0.588549,0.683536,0.716958,0.681612
0.049993,0.613595,0.696875,0.713834,0.701488,0.048798,0.595505,0.689653,0.743839,0.673841
0.050463,0.610443,0.693114,0.711112,0.698333,0.049287,0.603284,0.699185,0.744396,0.687244
0.049803,0.614096,0.696254,0.71577,0.700019,0.057768,0.558076,0.652983,0.729447,0.635899
0.049605,0.615556,0.698201,0.715997,0.701033,0.050106,0.594822,0.688369,0.726919,0.684175
0.049375,0.61351,0.695627,0.713855,0.699602,0.048038,0.593345,0.686397,0.742186,0.672542
0.048994,0.620532,0.702846,0.722434,0.704518,0.048949,0.607801,0.702424,0.725612,0.704963
0.04916,0.614317,0.697214,0.716415,0.699121,0.046253,0.606581,0.70069,0.752383,0.685209
0.048124,0.62129,0.703443,0.722681,0.707015,0.04802,0.605429,0.69958,0.752028,0.687378
0.048419,0.619477,0.702962,0.723147,0.703944,0.046091,0.607994,0.701149,0.737368,0.695075
0.048191,0.622984,0.705144,0.724724,0.706795,0.047622,0.614767,0.710239,0.750784,0.699592
0.04772,0.623479,0.705566,0.728089,0.707352,0.04806,0.603748,0.697119,0.747359,0.682447
0.047429,0.625081,0.706767,0.728225,0.707566,0.049557,0.592711,0.68776,0.723766,0.689324
0.047558,0.623588,0.705563,0.724778,0.707293,0.048205,0.59892,0.692323,0.72233,0.693431
0.047415,0.620992,0.702549,0.721621,0.704023,0.048229,0.609418,0.704714,0.744197,0.695718
0.047175,0.624301,0.706338,0.726405,0.708816,0.047053,0.60148,0.692965,0.745922,0.685167
0.046905,0.629834,0.712288,0.734267,0.713178,0.04622,0.617515,0.712014,0.73557,0.709002
0.046845,0.630814,0.713266,0.734758,0.713566,0.048408,0.607157,0.701661,0.743208,0.690097
0.046404,0.632649,0.714439,0.737146,0.714725,0.046722,0.613876,0.707348,0.734208,0.704506
0.046876,0.627164,0.709478,0.73051,0.711734,0.049465,0.598072,0.692073,0.747839,0.675598
0.046522,0.627361,0.709259,0.730629,0.710402,0.046635,0.612032,0.706236,0.752372,0.691445
0.046454,0.628936,0.70938,0.730558,0.710842,0.047872,0.607667,0.701535,0.748852,0.687706
0.046299,0.627155,0.708835,0.727739,0.710637,0.048792,0.604534,0.699054,0.745277,0.685676
0.043345,0.594449,0.682903,0.709801,0.679461
