loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
7477.625643,0.064264,0.111179,0.168168,0.183509,7534.287526,0.101381,0.152241,0.240629,0.282366
6530.542626,0.304692,0.386845,0.443719,0.456084,5857.981939,0.437016,0.530589,0.545349,0.572584
5699.318479,0.475058,0.56634,0.57022,0.595326,5325.187136,0.508669,0.59589,0.589172,0.634198
5277.059224,0.515585,0.599978,0.592804,0.623121,5119.157641,0.532495,0.616046,0.610073,0.637845
5125.410274,0.53559,0.616656,0.608596,0.635098,5063.789208,0.547765,0.628995,0.63034,0.632273
5068.736113,0.541312,0.619928,0.612192,0.635902,5071.557145,0.541306,0.623602,0.628026,0.633817
5061.817958,0.538701,0.617465,0.610152,0.635379,5104.970414,0.529745,0.614434,0.621501,0.623346
5029.959777,0.548539,0.625323,0.617829,0.641192,5072.764306,0.542923,0.625093,0.612679,0.651633
5022.484252,0.550199,0.62672,0.619229,0.641502,5116.847569,0.522352,0.60638,0.61795,0.620712
5002.344887,0.556111,0.630537,0.623772,0.643505,5042.118687,0.551916,0.632354,0.632265,0.640159
5015.479444,0.555868,0.63273,0.625041,0.647592,5078.454529,0.541363,0.623945,0.637356,0.620985
4996.593654,0.553261,0.626773,0.620308,0.638911,5044.266567,0.548364,0.629154,0.620452,0.650662
4986.792982,0.561069,0.635161,0.628065,0.648129,5108.927533,0.532696,0.615631,0.637631,0.613361
4982.71599,0.558912,0.631624,0.625102,0.643151,5137.263351,0.523968,0.60919,0.627356,0.610864
4976.123918,0.562628,0.635638,0.629406,0.64757,5045.866742,0.556548,0.636216,0.632599,0.644328
4976.835797,0.562744,0.635728,0.629053,0.648315,5033.854882,0.556344,0.635642,0.634326,0.642744
4962.833417,0.564586,0.636221,0.62999,0.647339,5049.431357,0.556586,0.636159,0.625,0.654102
4958.879048,0.5677,0.63832,0.632527,0.648012,5060.567608,0.549074,0.629798,0.635721,0.6328
4960.050531,0.57044,0.642042,0.635638,0.652744,5049.949089,0.551892,0.632961,0.636132,0.637776
4960.696705,0.565483,0.637162,0.630553,0.648779,5042.900181,0.549221,0.630055,0.622604,0.652124
4954.087073,0.56739,0.638087,0.632168,0.64799,5040.340953,0.554275,0.63421,0.62347,0.654901
4947.249858,0.566288,0.636398,0.630549,0.646599,5019.046397,0.559552,0.638176,0.635749,0.647568
4944.823489,0.570859,0.641177,0.634999,0.651427,5014.857934,0.564263,0.642084,0.640375,0.6486
4939.07645,0.571903,0.64128,0.635521,0.650219,5002.570634,0.5665,0.643517,0.639885,0.652224
4939.084248,0.572053,0.641257,0.635642,0.64996,5002.76006,0.56507,0.6424,0.639905,0.651614
4940.322153,0.573208,0.643076,0.637026,0.653379,5002.818508,0.567783,0.644488,0.64136,0.652896
4935.260934,0.571899,0.641372,0.635429,0.651122,5029.969774,0.558558,0.637572,0.642565,0.637429
4935.82278,0.571666,0.640461,0.634727,0.649498,5022.57286,0.562073,0.640361,0.642479,0.642652
4933.40683,0.571979,0.641105,0.635453,0.650399,5016.415392,0.565878,0.64317,0.641576,0.647975
4933.68307,0.576396,0.645738,0.639893,0.654723,5006.231907,0.568401,0.645222,0.645545,0.648608
4922.882109,0.574891,0.643056,0.637524,0.651585,5015.403156,0.56614,0.643527,0.643033,0.647696
4924.920867,0.580025,0.649245,0.643536,0.658717,5003.956689,0.568589,0.645196,0.647407,0.646301
4925.538532,0.578612,0.647824,0.642277,0.656418,5001.742209,0.567272,0.643896,0.643505,0.649641
4923.202082,0.577876,0.64699,0.641209,0.65571,5150.985577,0.523811,0.608672,0.640913,0.595958
4920.511144,0.576805,0.64455,0.639249,0.653034,5003.657625,0.566631,0.64347,0.643501,0.649923
4919.046,0.579087,0.64742,0.641808,0.65596,5017.16419,0.563273,0.640802,0.634669,0.654595
4918.206077,0.582864,0.651246,0.646017,0.6595,5009.576068,0.566947,0.644131,0.647931,0.64453
4916.122172,0.577954,0.645502,0.640387,0.653269,5001.413678,0.568655,0.645153,0.640163,0.655965
4912.179665,0.58001,0.647382,0.642195,0.655433,5000.055099,0.570291,0.646413,0.643008,0.653657
4915.302067,0.580253,0.647961,0.642644,0.656117,5008.021882,0.568626,0.645166,0.642675,0.652248
4910.82088,0.578794,0.645567,0.64032,0.653005,5005.174953,0.568603,0.645065,0.646401,0.649209
4909.054391,0.58098,0.648628,0.642993,0.657796,5010.061128,0.565571,0.64262,0.642602,0.64903
4910.276959,0.577302,0.644759,0.639355,0.65295,5005.637658,0.569584,0.6459,0.645993,0.649263
4907.463854,0.583393,0.650724,0.645518,0.6583,5007.38756,0.567254,0.643973,0.647724,0.645465
4910.399561,0.579566,0.646945,0.641499,0.65513,5002.987522,0.568327,0.644804,0.64151,0.65307
4906.027287,0.585571,0.653134,0.647997,0.660761,5004.484396,0.568254,0.644853,0.647451,0.647433
4906.921987,0.581707,0.648523,0.643538,0.655943,5003.426652,0.569582,0.645874,0.646057,0.650137
4902.450258,0.579659,0.645978,0.640927,0.653166,4997.085871,0.571769,0.647568,0.646573,0.652244
4905.348625,0.579446,0.646524,0.641348,0.654444,5006.273406,0.568302,0.644819,0.645843,0.648361
4903.323543,0.579503,0.64638,0.641479,0.65424,5005.483178,0.568319,0.644954,0.644113,0.65085
4900.34721,0.57881,0.64425,0.639584,0.651602,5002.360447,0.569925,0.646117,0.645616,0.651365
4901.156114,0.58387,0.650784,0.645861,0.658307,4999.831198,0.571204,0.646991,0.645851,0.652378
4900.281278,0.586458,0.653422,0.648338,0.660943,5000.603205,0.570747,0.646681,0.648454,0.648932
4899.248817,0.582628,0.648561,0.643922,0.655532,5000.316138,0.57042,0.64646,0.646969,0.650169
4900.760783,0.579894,0.64629,0.641087,0.654185,5001.538696,0.569539,0.645745,0.645622,0.650876
4899.809233,0.580874,0.646808,0.641948,0.654227,5003.140532,0.570251,0.646376,0.650066,0.64667
4900.140905,0.582018,0.648524,0.64335,0.656014,5002.70222,0.569556,0.645726,0.646748,0.649231
4899.892956,0.586124,0.652738,0.647619,0.660178,5001.810796,0.56955,0.645753,0.646172,0.649928
4892.130388,0.560302,0.639574,0.642611,0.641252
