loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.272452,0.085182,0.145647,0.181298,0.194931,0.222924,0.141272,0.210354,0.241998,0.257239
0.182106,0.334272,0.435384,0.445955,0.472488,0.119247,0.465312,0.556747,0.576988,0.569411
0.122059,0.474697,0.568029,0.570928,0.591817,0.077893,0.506493,0.594626,0.589305,0.614474
0.099435,0.502589,0.589334,0.582966,0.613298,0.072067,0.508567,0.594813,0.584449,0.625889
0.085996,0.524665,0.60802,0.60232,0.628358,0.060877,0.539967,0.623018,0.634725,0.619765
0.079245,0.529616,0.611682,0.614726,0.63059,0.071482,0.505163,0.594313,0.644712,0.585193
0.075632,0.533672,0.615716,0.649238,0.633712,0.056061,0.551341,0.632204,0.662583,0.631653
0.071815,0.538361,0.621036,0.659279,0.633487,0.060731,0.541104,0.627109,0.648027,0.641096
0.070237,0.551613,0.638361,0.6675,0.647048,0.057235,0.557062,0.647597,0.684418,0.645119
0.067911,0.566472,0.65301,0.67347,0.659084,0.061122,0.54914,0.647403,0.701618,0.628669
0.067226,0.569403,0.656448,0.672142,0.662725,0.078375,0.475131,0.577251,0.682166,0.552995
0.066016,0.570512,0.656564,0.670992,0.663855,0.054318,0.571074,0.661083,0.696207,0.659244
0.065563,0.577039,0.664725,0.676544,0.671887,0.054596,0.568002,0.657234,0.690507,0.652828
0.065127,0.578319,0.665687,0.677426,0.674906,0.069085,0.524242,0.622812,0.678062,0.616078
