loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.34251,0.087081,0.145964,0.19006,0.190263,0.222474,0.188003,0.260421,0.309654,0.322446
0.109558,0.440203,0.53168,0.546426,0.55228,0.078507,0.475737,0.570436,0.635774,0.56744
0.079908,0.511967,0.601927,0.62072,0.613807,0.064247,0.534485,0.634245,0.662663,0.638297
0.07161,0.541381,0.632169,0.646733,0.642588,0.060734,0.551147,0.650792,0.676723,0.655516
0.067928,0.558441,0.648513,0.668009,0.656845,0.066876,0.530496,0.632059,0.680475,0.62455
0.063964,0.568928,0.656958,0.677252,0.666231,0.105965,0.427994,0.528731,0.673088,0.505378
0.062131,0.577435,0.665747,0.683984,0.672496,0.059309,0.545687,0.641669,0.717761,0.62603
0.060004,0.59017,0.678247,0.698225,0.683197,0.054236,0.572442,0.667453,0.692735,0.673804
0.059137,0.591463,0.679658,0.700589,0.683305,0.056923,0.555443,0.651625,0.70846,0.653471
0.057733,0.598222,0.684286,0.707978,0.688437,0.053425,0.555789,0.645324,0.719578,0.633326
0.05899,0.592852,0.679849,0.702695,0.685226,0.054099,0.55805,0.648386,0.726425,0.633911
0.057206,0.593693,0.679054,0.699231,0.68217,0.05114,0.581015,0.672231,0.724143,0.66338
0.056117,0.602704,0.688303,0.708356,0.692228,0.057088,0.549048,0.639711,0.708134,0.631038
0.056032,0.604512,0.689764,0.708148,0.695384,0.061118,0.544045,0.635557,0.724563,0.6193
0.054929,0.600934,0.68513,0.706487,0.688052,0.052313,0.564281,0.652744,0.733219,0.640565
0.054546,0.608745,0.69327,0.711514,0.695954,0.051038,0.574352,0.665225,0.731164,0.656465
0.054255,0.612084,0.697258,0.719443,0.699791,0.055036,0.58028,0.67449,0.715728,0.675423
0.053626,0.608211,0.691866,0.715481,0.694884,0.051374,0.589429,0.684333,0.727916,0.678015
0.05336,0.609171,0.692387,0.715052,0.693457,0.051671,0.581213,0.672309,0.737927,0.661641
0.053219,0.611376,0.694763,0.718208,0.695831,0.051293,0.5966,0.692132,0.737944,0.686213
0.052534,0.618771,0.702855,0.725059,0.702567,0.052133,0.580222,0.673741,0.737959,0.66676
0.051669,0.621106,0.705354,0.726333,0.705865,0.053056,0.586031,0.682159,0.699517,0.694159
0.05179,0.619893,0.703011,0.726675,0.705657,0.05132,0.586891,0.67841,0.734192,0.671168
0.050675,0.621301,0.703413,0.724934,0.703893,0.053531,0.586527,0.682573,0.73805,0.671514
0.050451,0.621988,0.703167,0.725379,0.703996,0.049509,0.595375,0.689874,0.730427,0.68251
0.049676,0.622808,0.704214,0.728403,0.704935,0.053423,0.579757,0.672014,0.744569,0.654391
0.04916,0.627068,0.708657,0.731291,0.710856,0.051718,0.581965,0.674576,0.729418,0.664809
0.048281,0.632168,0.712476,0.733326,0.713004,0.049889,0.598804,0.692091,0.733635,0.681204
0.047854,0.634394,0.714931,0.73663,0.714702,0.051471,0.594422,0.687515,0.726871,0.682848
0.048226,0.631419,0.712154,0.734626,0.713353,0.052457,0.589971,0.682979,0.721846,0.682378
0.047327,0.639492,0.719118,0.74314,0.719757,0.051522,0.589212,0.680957,0.744073,0.667334
0.046387,0.640785,0.719974,0.741173,0.719297,0.050978,0.602448,0.696214,0.728562,0.691351
0.046261,0.642715,0.721861,0.743404,0.720718,0.051286,0.590407,0.681936,0.729793,0.677053
0.045857,0.639653,0.718906,0.741851,0.718046,0.052448,0.587307,0.678351,0.736587,0.666251
0.045409,0.646494,0.724974,0.745334,0.723657,0.050954,0.593815,0.684354,0.736653,0.676214
0.049478,0.584804,0.67622,0.699649,0.669063
