loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.368259,0.074014,0.126668,0.189822,0.186561,0.228544,0.163095,0.235248,0.272777,0.274423
0.114448,0.425671,0.517406,0.529842,0.542196,0.084368,0.455222,0.549436,0.618802,0.546768
0.080403,0.509075,0.597488,0.625754,0.611994,0.063388,0.522578,0.615552,0.661295,0.615945
0.071056,0.539934,0.62928,0.649316,0.638116,0.059558,0.544447,0.639712,0.689837,0.623636
0.066624,0.560153,0.648849,0.668138,0.657606,0.058747,0.547312,0.640499,0.685384,0.646833
0.063255,0.575426,0.663109,0.684116,0.671676,0.093815,0.460367,0.560102,0.679848,0.538176
0.06176,0.578574,0.66688,0.687708,0.673278,0.054947,0.567746,0.660762,0.706874,0.652434
0.059506,0.588921,0.677008,0.699744,0.683308,0.054212,0.579366,0.672083,0.717119,0.664006
0.058366,0.599471,0.68808,0.710797,0.690851,0.060782,0.560933,0.655589,0.711743,0.644224
0.057351,0.600734,0.686485,0.711332,0.69098,0.056761,0.550599,0.642065,0.70849,0.629835
0.058474,0.593718,0.680476,0.701273,0.685345,0.057375,0.555078,0.651336,0.721655,0.628279
0.056823,0.595696,0.680832,0.70373,0.682986,0.050686,0.58548,0.676289,0.729245,0.667644
0.055318,0.607252,0.692545,0.716492,0.695724,0.056134,0.563618,0.657514,0.689471,0.66262
0.055229,0.608321,0.692726,0.714579,0.695471,0.053276,0.571849,0.663695,0.734279,0.647847
0.054675,0.608521,0.694237,0.718586,0.696672,0.066235,0.52302,0.620143,0.714839,0.60218
0.054238,0.611449,0.696123,0.719009,0.697889,0.053035,0.582705,0.675718,0.733874,0.664739
0.053803,0.614708,0.699842,0.721857,0.702421,0.052769,0.577782,0.669031,0.721818,0.657015
0.05337,0.614666,0.698799,0.721115,0.700307,0.055266,0.581383,0.678889,0.719414,0.672748
0.052875,0.615107,0.698084,0.720488,0.699138,0.050364,0.588964,0.678934,0.719177,0.672179
0.053229,0.618339,0.70317,0.725713,0.703906,0.052064,0.598612,0.694084,0.726472,0.689087
0.052206,0.618338,0.701163,0.726665,0.700507,0.051937,0.586052,0.679278,0.733934,0.66841
0.052143,0.617294,0.700653,0.725575,0.702562,0.053522,0.586224,0.680125,0.71892,0.681557
0.051884,0.622427,0.705987,0.729146,0.707056,0.052355,0.59222,0.686486,0.712217,0.683064
0.051426,0.624579,0.708082,0.733926,0.707892,0.051767,0.59766,0.692665,0.737838,0.68046
0.050794,0.623427,0.705234,0.724487,0.705815,0.054385,0.584805,0.680457,0.72165,0.674832
0.050662,0.626219,0.709252,0.732598,0.709958,0.054658,0.598217,0.694462,0.703375,0.706824
0.050264,0.628869,0.711767,0.733201,0.712597,0.05148,0.598556,0.693529,0.739598,0.679982
0.049799,0.634296,0.716676,0.737791,0.717956,0.053633,0.589105,0.685674,0.730727,0.674139
0.04921,0.636609,0.718472,0.739938,0.718354,0.051431,0.602602,0.69837,0.720024,0.704414
0.049277,0.632876,0.714695,0.738496,0.713705,0.052999,0.594957,0.689174,0.732799,0.681898
0.048552,0.63551,0.717244,0.739105,0.717596,0.051663,0.596203,0.68737,0.729095,0.68602
0.048102,0.634312,0.715067,0.735548,0.714691,0.050952,0.607162,0.701208,0.734377,0.694295
0.047795,0.635157,0.715234,0.740157,0.714797,0.052669,0.60021,0.693887,0.731882,0.688792
0.046767,0.64323,0.723686,0.745961,0.722816,0.052544,0.604259,0.698643,0.740058,0.688515
0.046608,0.649104,0.730003,0.750488,0.728152,0.051862,0.601838,0.694983,0.723406,0.694566
0.049723,0.588227,0.681728,0.710457,0.676473
