loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.34982,0.140454,0.213477,0.238153,0.259631,0.199589,0.238401,0.320854,0.346991,0.355387
0.113849,0.42097,0.515344,0.528544,0.533589,0.076048,0.439056,0.527975,0.583771,0.529104
0.084972,0.488349,0.580253,0.603628,0.594014,0.067523,0.489329,0.584797,0.626122,0.587972
0.076942,0.515561,0.607437,0.626169,0.619264,0.060236,0.52686,0.620884,0.667043,0.616903
0.068907,0.547003,0.636816,0.655662,0.64533,0.059165,0.541579,0.637653,0.663572,0.644609
0.064688,0.566426,0.654545,0.674433,0.66141,0.096118,0.440195,0.540212,0.671505,0.52044
0.062781,0.567701,0.654935,0.674467,0.66012,0.059294,0.537538,0.632634,0.672652,0.630441
0.060702,0.579601,0.66622,0.685436,0.673132,0.053861,0.573225,0.667789,0.686992,0.675592
0.059813,0.590034,0.678476,0.701246,0.683051,0.059656,0.551219,0.644724,0.711228,0.639914
0.058262,0.595942,0.682548,0.706784,0.686436,0.056805,0.567436,0.667998,0.706841,0.66735
0.058273,0.593823,0.680503,0.699873,0.68471,0.059564,0.541306,0.636352,0.715191,0.621382
0.057563,0.591898,0.678134,0.701795,0.680209,0.052291,0.580621,0.674842,0.703425,0.683476
0.056732,0.59685,0.682501,0.701706,0.687031,0.056123,0.559907,0.654518,0.70531,0.654045
0.056605,0.602662,0.688545,0.71163,0.690539,0.055043,0.572508,0.668577,0.725835,0.656108
0.055715,0.60098,0.686326,0.710366,0.688257,0.053988,0.574128,0.669321,0.706927,0.663121
0.055414,0.607955,0.69344,0.716656,0.696505,0.056656,0.555728,0.649105,0.728467,0.638756
0.054726,0.607177,0.691656,0.714195,0.695175,0.050534,0.582644,0.676712,0.728595,0.666835
0.05375,0.608285,0.692421,0.718513,0.694778,0.073959,0.543487,0.65003,0.714748,0.644685
0.05359,0.607219,0.690519,0.715265,0.691791,0.049499,0.588405,0.678986,0.729303,0.672633
0.053729,0.613571,0.698444,0.722616,0.698969,0.050819,0.599811,0.695988,0.70826,0.706046
0.052633,0.616297,0.699931,0.723241,0.701463,0.053488,0.590278,0.689035,0.730458,0.684465
0.052183,0.6097,0.692715,0.715762,0.693445,0.055511,0.574646,0.672178,0.712802,0.67597
0.052256,0.618394,0.702146,0.726857,0.702807,0.054341,0.58669,0.683813,0.732733,0.670259
0.050578,0.625892,0.707993,0.730867,0.708299,0.052592,0.582873,0.675729,0.732081,0.663019
0.050505,0.621411,0.702901,0.724312,0.703866,0.054371,0.58462,0.68145,0.712402,0.681678
0.050074,0.623865,0.706127,0.729792,0.707212,0.05893,0.577177,0.674586,0.727538,0.665507
0.049244,0.630018,0.712214,0.733496,0.713605,0.050973,0.600628,0.697075,0.726502,0.694536
0.048765,0.628309,0.70924,0.731845,0.709953,0.053676,0.597937,0.695594,0.727187,0.688618
0.047964,0.633875,0.714851,0.737616,0.71317,0.05166,0.596769,0.691117,0.732547,0.68166
0.048288,0.629706,0.710786,0.732421,0.709489,0.052045,0.594067,0.687813,0.740573,0.677071
0.047453,0.638924,0.719903,0.743773,0.718022,0.053624,0.605369,0.700665,0.738954,0.693124
0.047369,0.638144,0.718686,0.739312,0.718677,0.052299,0.603894,0.700704,0.71915,0.70336
0.046598,0.642605,0.722771,0.745662,0.723349,0.054157,0.598701,0.696085,0.727951,0.689403
0.045963,0.641873,0.722118,0.749982,0.720603,0.053181,0.606775,0.70317,0.730788,0.698167
0.045516,0.642047,0.7208,0.745084,0.719609,0.054244,0.594972,0.691236,0.728286,0.68836
0.051466,0.579274,0.671275,0.696228,0.667327
