loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.33333,0.102745,0.165889,0.203496,0.234046,0.225741,0.168375,0.238042,0.263326,0.287817
0.110779,0.438078,0.52969,0.531233,0.552739,0.073433,0.480258,0.571423,0.58546,0.585249
0.07914,0.509003,0.597488,0.621319,0.611391,0.064868,0.513535,0.607724,0.641441,0.632686
0.071816,0.536884,0.627295,0.64913,0.63829,0.068324,0.50915,0.603592,0.674304,0.602122
0.067274,0.557426,0.646923,0.669761,0.655803,0.072919,0.497513,0.59722,0.682998,0.578758
0.064053,0.572191,0.660541,0.678885,0.667542,0.127385,0.374544,0.463077,0.658681,0.450434
0.062396,0.575256,0.663355,0.685346,0.670161,0.05494,0.558456,0.647591,0.697036,0.639885
0.060545,0.58276,0.670111,0.691237,0.676195,0.057066,0.560274,0.654375,0.665749,0.671316
0.059474,0.58823,0.675261,0.694696,0.68066,0.055802,0.55588,0.647376,0.694327,0.649551
0.058351,0.595276,0.681755,0.705738,0.686148,0.052655,0.569335,0.660711,0.709252,0.654023
0.057452,0.598383,0.68403,0.704121,0.687548,0.067412,0.514179,0.61259,0.718013,0.583532
0.057686,0.591147,0.675893,0.697575,0.680329,0.051612,0.575116,0.665506,0.702927,0.670235
0.056473,0.600586,0.686417,0.706291,0.691236,0.054105,0.571312,0.664924,0.696954,0.664424
0.056184,0.599103,0.684169,0.703843,0.688783,0.062624,0.538598,0.633667,0.7112,0.622818
0.055353,0.601182,0.686172,0.709611,0.690911,0.06208,0.539622,0.631585,0.697478,0.632033
0.05463,0.610066,0.695184,0.717149,0.699155,0.051891,0.571313,0.662386,0.715783,0.662146
0.054526,0.606158,0.690469,0.713166,0.695159,0.050481,0.576682,0.665325,0.710927,0.665629
0.054115,0.608538,0.692963,0.715921,0.695674,0.053344,0.57758,0.672479,0.722945,0.66139
0.053714,0.61086,0.694649,0.714361,0.697807,0.050461,0.580108,0.668585,0.7212,0.663693
0.054016,0.609687,0.694922,0.723355,0.696792,0.054006,0.592354,0.686571,0.708579,0.694755
0.053104,0.616675,0.700787,0.721154,0.70193,0.050993,0.588087,0.682341,0.705484,0.696497
0.052484,0.615658,0.699173,0.72319,0.699808,0.054994,0.571793,0.667248,0.714158,0.672459
0.052381,0.620864,0.704817,0.726785,0.706964,0.050906,0.590974,0.684607,0.729323,0.678648
0.051694,0.62059,0.703872,0.726785,0.704183,0.054796,0.567548,0.661613,0.727118,0.64592
0.051092,0.625448,0.707763,0.729555,0.70926,0.052019,0.586404,0.681533,0.709045,0.687049
0.051225,0.62468,0.708175,0.732697,0.708507,0.067165,0.546278,0.645776,0.72635,0.627736
0.05054,0.622199,0.704802,0.726097,0.706077,0.058993,0.560958,0.660783,0.716788,0.64953
0.050136,0.630362,0.712928,0.73571,0.713646,0.05072,0.594128,0.688869,0.730371,0.679105
0.049747,0.633042,0.715288,0.738891,0.715997,0.052023,0.597696,0.691085,0.720594,0.690954
0.049374,0.631949,0.713642,0.73929,0.713473,0.050238,0.595183,0.688478,0.738712,0.679317
0.048778,0.631412,0.712867,0.736849,0.71395,0.052303,0.589849,0.683004,0.734111,0.678363
0.048496,0.631332,0.711816,0.733681,0.712799,0.050286,0.593389,0.685701,0.723998,0.684809
0.047947,0.637627,0.718524,0.738509,0.717911,0.053776,0.586295,0.679318,0.718435,0.684821
0.047675,0.638872,0.720342,0.742005,0.719721,0.051845,0.599273,0.692366,0.735867,0.681014
0.047072,0.638994,0.718586,0.742523,0.717684,0.0546,0.582958,0.6741,0.719889,0.676931
0.046691,0.646333,0.726784,0.752409,0.725516,0.052222,0.592277,0.684817,0.728969,0.677153
0.046266,0.646731,0.725698,0.747155,0.725022,0.052518,0.599389,0.693892,0.73654,0.683863
0.045692,0.647502,0.727262,0.752722,0.726576,0.054502,0.594577,0.688678,0.739931,0.680289
0.045621,0.653357,0.732689,0.75851,0.731722,0.05269,0.597422,0.691903,0.720742,0.693781
0.045307,0.647431,0.726052,0.749308,0.72478,0.053526,0.592387,0.685826,0.718201,0.687188
0.049497,0.586062,0.676468,0.694448,0.673869
