loss,jac,f1,prec,rec,val_loss,val_jac,val_f1,val_prec,val_rec
0.243709,0.202346,0.274408,0.327951,0.334885,0.180505,0.265097,0.333265,0.380848,0.413514
0.107227,0.452394,0.541693,0.554987,0.570397,0.071627,0.500613,0.590823,0.609277,0.594928
0.077659,0.51559,0.600216,0.637512,0.618314,0.060313,0.531768,0.617285,0.658193,0.629469
0.071187,0.532588,0.61929,0.648082,0.631837,0.064681,0.523532,0.618323,0.664689,0.616323
0.066293,0.558198,0.646926,0.665649,0.656265,0.056806,0.555713,0.644939,0.65891,0.658636
0.063219,0.572154,0.660524,0.677678,0.668676,0.070301,0.514118,0.616416,0.673849,0.606869
0.061444,0.577171,0.664765,0.68076,0.673274,0.055353,0.546905,0.636308,0.690665,0.635604
0.059567,0.583909,0.670142,0.682765,0.677455,0.054431,0.556476,0.643673,0.694592,0.645628
0.05919,0.590431,0.677928,0.693105,0.683787,0.055252,0.55471,0.647686,0.675149,0.66688
0.057774,0.598082,0.684094,0.697781,0.689326,0.054762,0.553958,0.64186,0.699028,0.641619
0.057757,0.594573,0.680022,0.695491,0.685505,0.066897,0.505863,0.600145,0.694039,0.578062
0.057684,0.590436,0.675075,0.690931,0.679813,0.051138,0.579404,0.66977,0.713211,0.66265
0.056686,0.59695,0.681727,0.696403,0.687715,0.053204,0.565463,0.65428,0.683827,0.656115
0.056055,0.601294,0.68572,0.697695,0.691053,0.059662,0.547889,0.6419,0.708277,0.635337
0.055766,0.601392,0.686077,0.699999,0.691521,0.055838,0.55243,0.642386,0.708875,0.632557
0.055446,0.607155,0.691525,0.706093,0.696449,0.057246,0.558038,0.648372,0.716789,0.632728
0.054719,0.60546,0.689084,0.706728,0.693505,0.051001,0.573383,0.662204,0.717689,0.657456
0.054418,0.602513,0.685059,0.699629,0.690883,0.059218,0.560963,0.657138,0.710078,0.6443
0.054292,0.604271,0.686906,0.70355,0.691557,0.049454,0.592034,0.684323,0.724612,0.678753
0.054441,0.610797,0.694736,0.710263,0.698549,0.052824,0.592282,0.686873,0.714002,0.690233
0.053801,0.610168,0.693498,0.708254,0.696193,0.049492,0.590795,0.682341,0.716938,0.675429
0.053452,0.609137,0.692267,0.708674,0.695701,0.050532,0.592563,0.686887,0.707841,0.690029
0.05337,0.612057,0.695234,0.711472,0.700253,0.051286,0.586337,0.679946,0.720646,0.676052
0.052794,0.611754,0.694311,0.709912,0.696202,0.051706,0.587865,0.682701,0.723575,0.677752
0.053028,0.610515,0.692869,0.709855,0.697627,0.050395,0.591089,0.684867,0.722302,0.678473
0.052712,0.612445,0.695083,0.717245,0.697776,0.054247,0.574932,0.670211,0.71936,0.659385
0.052881,0.610272,0.692743,0.709821,0.697245,0.05181,0.587722,0.683753,0.721595,0.67515
0.05218,0.618252,0.701506,0.720932,0.70341,0.051533,0.581539,0.673377,0.727553,0.663807
0.052012,0.618952,0.7012,0.718147,0.703808,0.056716,0.578878,0.6733,0.698706,0.680354
0.052358,0.614953,0.697666,0.717804,0.700207,0.053102,0.578079,0.668819,0.719801,0.662397
0.051862,0.616139,0.698429,0.71676,0.703012,0.049633,0.594499,0.686767,0.733792,0.681479
0.051323,0.617439,0.69896,0.716418,0.701445,0.050865,0.598891,0.692636,0.715404,0.696847
0.051379,0.623402,0.706483,0.728093,0.708251,0.050458,0.596928,0.691708,0.719297,0.69479
0.051053,0.617992,0.700096,0.723471,0.701465,0.050321,0.601119,0.695054,0.730721,0.691354
0.051147,0.621871,0.704281,0.724566,0.705569,0.049903,0.593937,0.68658,0.724379,0.684931
0.048269,0.568586,0.655996,0.688281,0.65089
